"code","codeSystemVersion","id","uuid:ID","decode","codeSystem"
"C123975","","Code_240","6c463d63-6499-4d2c-8dde-11eb845a47b8","Vital Signs Laterality","NCI Thesaurus"
"C82535","","Code_241","c2ce0472-7f2c-47bc-b6cd-08e212db54db","Test Method","NCI Thesaurus"
"C83114","","Code_242","1f9c9c0a-c89e-41f4-a882-209580b9d738","Vital Signs Position","NCI Thesaurus"
"C25299","","Code_235","df69eb87-eeb3-4c0e-a243-0e41e4e5a11a","Diastolic Blood Pressure","NCI Thesaurus"
"C174268","2023-09-29","Code_106","b18a1d96-8f65-437e-a85f-33373e029ebf","Placebo Comparator Arm","http://www.cdisc.org"
"C188866","2023-09-29","Code_107","3576094f-aa8c-402b-a744-fdce007a1904","Data Generated Within Study","http://www.cdisc.org"
"C174267","2023-09-29","Code_108","9d6e1568-4dfc-4164-aed8-a27cdb4cf839","Active Comparator Arm","http://www.cdisc.org"
"C188866","2023-09-29","Code_109","f15c9d38-2026-4d71-8f93-c5da0d17e2a7","Data Generated Within Study","http://www.cdisc.org"
"C174267","2023-09-29","Code_110","9543455b-a046-42b2-b041-f89f7b0361aa","Active Comparator Arm","http://www.cdisc.org"
"C188866","2023-09-29","Code_111","cdb260ad-bd0d-45b9-a052-7e639ac1a779","Data Generated Within Study","http://www.cdisc.org"
"C15228","2023-09-29","Code_119","594598c0-e594-4cbf-9fc1-f5f1afe40eea","Double Blind Study","http://www.cdisc.org"
"C48262","2023-09-29","Code_112","52e3e29a-cada-4eb5-a792-1d79323f1942","Trial Screening","http://www.cdisc.org"
"C101526","2023-09-29","Code_113","0305dc49-9817-41cb-993a-03dca0dfe36b","Treatment Epoch","http://www.cdisc.org"
"C101526","2023-09-29","Code_114","0be48165-f63b-405f-90dd-0f67d0826fe0","Treatment Epoch","http://www.cdisc.org"
"C101526","2023-09-29","Code_115","76c08f52-4f6f-45bf-9bc2-f2b2e856371d","Treatment Epoch","http://www.cdisc.org"
"C99158","2023-09-29","Code_116","43c95431-077e-43ed-bdaf-88ee20dd2137","Clinical Study Follow-up","http://www.cdisc.org"
"G30.9","1","Code_296","f2ae450b-8fd4-435e-b80c-0252a713a725","Alzheimer's disease; unspecified","ICD-10-CM"
"26929004","January 31, 2018","Code_297","eda8aedb-fd6d-4bdb-a6da-090565d0b1df","Alzheimer's disease","SNOMED"
"C85826","2023-09-29","Code_300","69e2de3a-e9d4-4469-bfe4-eef23b90b5a6","Trial Primary Objective","http://www.cdisc.org"
"C94496","2023-09-29","Code_299","941b3db3-e899-4d67-af82-6c85cc5a9d17","Primary Endpoint","http://www.cdisc.org"
"C94496","2023-09-29","Code_301","d6411d6e-1a6c-4552-99d4-484aa4419772","Primary Endpoint","http://www.cdisc.org"
"C85826","2023-09-29","Code_303","b2b68bbd-aba7-4fba-bfa3-03c7816beb7a","Trial Primary Objective","http://www.cdisc.org"
"C94496","2023-09-29","Code_302","2b53b34d-6523-47f2-932b-2a887c60dbdd","Primary Endpoint","http://www.cdisc.org"
"C94496","2023-09-29","Code_304","0349ca00-80fb-49e7-b5e3-7d4d811a6986","Primary Endpoint","http://www.cdisc.org"
"C94496","2023-09-29","Code_305","b75b6b88-52cc-4047-b0ad-b42fdd1d2a8f","Primary Endpoint","http://www.cdisc.org"
"C85827","2023-09-29","Code_307","dd396aca-380c-4159-9f4d-3901c49d0a31","Trial Secondary Objective","http://www.cdisc.org"
"C139173","2023-09-29","Code_306","d2709234-1722-4946-8651-65a22ff10f7d","Secondary Endpoint","http://www.cdisc.org"
"C139173","2023-09-29","Code_308","3fd291af-c877-4238-8e3f-58c49454f369","Secondary Endpoint","http://www.cdisc.org"
"C139173","2023-09-29","Code_309","b975b167-5da0-4a21-a78f-d0892a3e1351","Secondary Endpoint","http://www.cdisc.org"
"C49636","2023-09-29","Code_298","3cbaf685-0914-4ba5-957d-a8e3b64af487","Both","http://www.cdisc.org"
"C201264","2023-09-29","Code_10","f943eefb-cd1f-4914-834d-c28bdac7ec6a","Before","http://www.cdisc.org"
"C201265","2023-09-29","Code_11","ba921b09-693f-434a-9350-4b2c51565c38","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_12","58eddb0a-ced4-4be1-b2c0-6209ada2e54f","Before","http://www.cdisc.org"
"C201265","2023-09-29","Code_13","b3e93bdd-3d78-4c31-9cb5-26ccc800787e","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_14","ec6e881c-f091-4afc-b569-5d86fa9443f0","Fixed Reference","http://www.cdisc.org"
"C201265","2023-09-29","Code_15","0a5fada4-fe21-4669-b4a7-3d10623e5f42","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_16","6a106acc-4c79-49e4-851d-4c067ef94f44","After","http://www.cdisc.org"
"C201265","2023-09-29","Code_17","2d67f5dc-159c-4b0d-ab6a-1c4f05217287","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_18","a7a7ff15-f0c0-499c-b3eb-770b00a3f9a1","After","http://www.cdisc.org"
"C201265","2023-09-29","Code_19","c59a6df2-5c36-4164-aece-e5e083d66f2c","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_20","e6a50d51-6660-473f-99da-c61cd91515c8","After","http://www.cdisc.org"
"C201265","2023-09-29","Code_21","781ed9ec-ada1-44cb-bdd2-5b42bf31cc7d","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_22","f8dcca28-3b68-4a46-af7b-d538a690ac80","After","http://www.cdisc.org"
"C201265","2023-09-29","Code_23","922d5572-155c-45a0-84a8-aff5931181e7","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_24","746e2fd5-17d5-4b49-8fc2-7fe29ae16b65","After","http://www.cdisc.org"
"C201265","2023-09-29","Code_25","bcd7d4db-c8af-4bd0-81d8-a79f2998d121","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_26","1240e36d-976c-403c-b4dc-85c3a706a308","After","http://www.cdisc.org"
"C201265","2023-09-29","Code_27","3ef68e44-9fb2-41d2-a72f-123ee96a667d","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_28","ff076427-1b41-4217-aa8f-14a1665d7d0b","After","http://www.cdisc.org"
"C201265","2023-09-29","Code_29","bf1b1355-b735-47c9-9e5e-a2901b1fcd06","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_30","9fa8b734-b5e2-46ac-b214-0fc59b4e4e84","After","http://www.cdisc.org"
"C201265","2023-09-29","Code_31","b6b7fac9-3afe-4c33-a1ff-ec85c5ae4168","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_32","b7f04b20-1d41-4d9e-838d-77d95bd22a9a","After","http://www.cdisc.org"
"C201265","2023-09-29","Code_33","b2abade0-2eb4-47ef-8ce8-d337725a17ee","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_34","82f1ec2e-dce6-43a2-8704-deb24bd2014a","After","http://www.cdisc.org"
"C201265","2023-09-29","Code_35","c0af3678-e0c3-43c9-916b-444111b4a8ef","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_36","8e073fa8-3b2a-4421-95df-1c1045e8480f","After","http://www.cdisc.org"
"C201265","2023-09-29","Code_37","35a3c25f-ae1f-4771-bd68-793a06d1be0a","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_38","5d2a5f94-a712-41d3-8058-05f5c77c347b","After","http://www.cdisc.org"
"C201265","2023-09-29","Code_39","9f576d05-f42a-4665-bb43-5dc985396a2e","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_40","59462d71-8de6-4f47-8a15-a45d902e584a","After","http://www.cdisc.org"
"C201265","2023-09-29","Code_41","a77be94e-8d39-42ff-ab9e-bae4e82c54eb","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_42","2a0903e7-39b4-4749-9982-917242480224","Fixed Reference","http://www.cdisc.org"
"C201265","2023-09-29","Code_43","556bacd4-cd5b-4dc1-bec1-bb7ee59bee01","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_44","fa8660a4-6ea1-4c54-b38e-23d766d33a9b","Fixed Reference","http://www.cdisc.org"
"C201265","2023-09-29","Code_45","25f8e88a-24d0-4cbf-a61e-9393c8ad060a","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_46","b610e1ae-e7ca-4470-aafb-cf8677811a08","Fixed Reference","http://www.cdisc.org"
"C201265","2023-09-29","Code_47","24e38740-6d5b-46a5-89b2-5ea7a2b7ce1b","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_48","60fb1cd6-78ba-44a8-a3aa-74014dac1472","After","http://www.cdisc.org"
"C201265","2023-09-29","Code_49","bb29aa14-3e6e-476d-92cb-cc815f2930b0","Start to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_50","c24ada6a-ed28-465e-a6fe-a2c441b143ef","After","http://www.cdisc.org"
"C201265","2023-09-29","Code_51","d1bc2e48-b347-4e02-be72-b91d5ba84f37","End to Start","http://www.cdisc.org"
"C201264","2023-09-29","Code_52","0f153987-962c-44c4-85ff-790f636ee754","After","http://www.cdisc.org"
"C201265","2023-09-29","Code_53","7c45f43f-842d-4267-84cb-a3f484a8c3fc","End to Start","http://www.cdisc.org"
"C25532","2023-09-29","Code_310","b4c21053-7c2a-4d5a-b268-08e35de9a167","Inclusion Criteria","http://www.cdisc.org"
"C25532","2023-09-29","Code_311","2d139488-834f-46e6-b7ee-2bc591e857cd","Inclusion Criteria","http://www.cdisc.org"
"C25532","2023-09-29","Code_312","c27bce33-6832-4340-ac8b-c0b51732302a","Inclusion Criteria","http://www.cdisc.org"
"C25370","2023-09-29","Code_313","04063c3b-f05c-4be6-9b0b-8607d19d978b","Exclusion Criteria","http://www.cdisc.org"
"C25508","2023-09-29","Code_4","8c5f8357-5f53-453b-aa01-a8c6a45f9a85","Final","http://www.cdisc.org"
"C99903x1","2023-09-29","Code_7","8885170e-4e4e-49da-9aec-55fbba1b9b1b","Protocol Effective Date","http://www.cdisc.org"
"C41129","2023-09-29","Code_9","eb09be29-843b-411b-8132-d85d6bc8893e","Region","http://www.cdisc.org"
"150","2020-08","Code_8","b4fad8f5-6c41-486c-96bd-30eeb7f0bd14","Europe","ISO 3166 1 alpha3"
