"code","codeSystem","uuid:ID","decode","codeSystemVersion","id"
"C174268","http://www.cdisc.org","d267012f-b653-4297-bb8a-29c7dfa254c0","Placebo Comparator Arm","2023-09-29","Code_115"
"C188866","http://www.cdisc.org","e709a164-6fd7-44a7-be71-81ef1ffbeee5","Data Generated Within Study","2023-09-29","Code_116"
"C174267","http://www.cdisc.org","f671a549-ac49-4b40-873f-1488ca2d9189","Active Comparator Arm","2023-09-29","Code_117"
"C188866","http://www.cdisc.org","0a077903-93d3-41fa-b64b-6028d2d8b883","Data Generated Within Study","2023-09-29","Code_118"
"C174267","http://www.cdisc.org","8c48dd63-63c6-4754-89f2-52d1d66f52a2","Active Comparator Arm","2023-09-29","Code_119"
"C188866","http://www.cdisc.org","42bb81bc-5392-4251-b2ea-8f42b629e88b","Data Generated Within Study","2023-09-29","Code_120"
"C15228","http://www.cdisc.org","4193e08d-8aa0-438d-9f28-b8560a2f5d93","Double Blind Study","2023-09-29","Code_128"
"C48262","http://www.cdisc.org","be4c4008-9a79-4ced-a86d-8df78fa7322e","Trial Screening","2023-09-29","Code_121"
"C101526","http://www.cdisc.org","b3fc4f6a-6225-4bd4-84ad-8a419a253da1","Treatment Epoch","2023-09-29","Code_122"
"C101526","http://www.cdisc.org","c2d007ca-5027-4348-9d7b-63915b7f1834","Treatment Epoch","2023-09-29","Code_123"
"C101526","http://www.cdisc.org","410d13ec-4592-4ad9-8802-5300082eb83d","Treatment Epoch","2023-09-29","Code_124"
"C99158","http://www.cdisc.org","c6a96c33-8e0b-4c60-9eb8-99a6eba66388","Clinical Study Follow-up","2023-09-29","Code_125"
"G30.9","ICD-10-CM","c54574a5-1ea8-4c86-b296-f884dccc2d05","Alzheimer's disease; unspecified","1","Code_304"
"26929004","SNOMED","2f7c9f5a-2717-4134-978d-9d4f3aa88954","Alzheimer's disease","January 31, 2018","Code_305"
"C85826","http://www.cdisc.org","d2fa2daa-ba48-450a-a95c-50c3f8fec0c8","Trial Primary Objective","2023-09-29","Code_310"
"C94496","http://www.cdisc.org","b63d3669-7b92-4f8c-a8e4-d5fb76900363","Primary Endpoint","2023-09-29","Code_309"
"C94496","http://www.cdisc.org","f04ddefc-fa4d-4e9b-8267-87fa2044e702","Primary Endpoint","2023-09-29","Code_311"
"C85826","http://www.cdisc.org","00dab92a-e821-4c7a-a691-b82589e579c0","Trial Primary Objective","2023-09-29","Code_313"
"C94496","http://www.cdisc.org","61fc77eb-67ff-442c-b354-c95720cf8ce0","Primary Endpoint","2023-09-29","Code_312"
"C94496","http://www.cdisc.org","6e7dfce9-bfc8-4d99-b117-d8e6bef2b18c","Primary Endpoint","2023-09-29","Code_314"
"C94496","http://www.cdisc.org","be06d929-46b0-43b5-824d-4f75e8bca665","Primary Endpoint","2023-09-29","Code_315"
"C85827","http://www.cdisc.org","7b3037a3-1b7f-4c11-a0bf-8d88f8d5cf93","Trial Secondary Objective","2023-09-29","Code_317"
"C139173","http://www.cdisc.org","8092cd5a-1281-41ad-925c-221fe785ed39","Secondary Endpoint","2023-09-29","Code_316"
"C139173","http://www.cdisc.org","0f751d19-a030-44fd-9820-72533f9884db","Secondary Endpoint","2023-09-29","Code_318"
"C139173","http://www.cdisc.org","1f5708d2-d344-46b2-840f-e2e1e9109f7b","Secondary Endpoint","2023-09-29","Code_319"
"C25532","http://www.cdisc.org","149cbae1-14ab-4c3c-b822-d3d63b2725c6","Inclusion Criteria","2023-09-29","Code_320"
"C25532","http://www.cdisc.org","1797091c-a8bc-4bd3-aae4-f6b38816c537","Inclusion Criteria","2023-09-29","Code_321"
"C25532","http://www.cdisc.org","2bcf6fb6-2f0a-4a5b-a46b-ba0f8e58de5f","Inclusion Criteria","2023-09-29","Code_322"
"C25370","http://www.cdisc.org","d790e09f-73e8-48c1-b257-70d615800581","Exclusion Criteria","2023-09-29","Code_323"
"C201264","http://www.cdisc.org","237083fc-f1e6-446d-b7b4-ade049bbf159","Before","2023-09-29","Code_10"
"C201265","http://www.cdisc.org","277fcd18-bfc7-42d3-b11a-ad12cdd0d003","Start to Start","2023-09-29","Code_11"
"C201264","http://www.cdisc.org","06375858-6ef7-45cd-bbc4-656649157eb7","Before","2023-09-29","Code_12"
"C201265","http://www.cdisc.org","70efee4a-49da-44cf-bbbc-59e05555544c","Start to Start","2023-09-29","Code_13"
"C201264","http://www.cdisc.org","a5a5bbf9-5857-4a37-a115-1fc04262ef6f","Fixed Reference","2023-09-29","Code_15"
"C201265","http://www.cdisc.org","c0130ed7-d2c8-4482-9a58-83f1d256fc82","Start to Start","2023-09-29","Code_16"
"C201264","http://www.cdisc.org","a8816644-86d3-4268-95d4-07aad6c27bc3","After","2023-09-29","Code_17"
"C201265","http://www.cdisc.org","7c917fdd-58d2-4103-a07b-dd4288eaf9cd","Start to Start","2023-09-29","Code_18"
"C201264","http://www.cdisc.org","3d3c95e4-3d94-4b48-96bc-07a01daf9cb6","After","2023-09-29","Code_20"
"C201265","http://www.cdisc.org","e6d9b456-d268-4399-8b79-563c40ccd3db","Start to Start","2023-09-29","Code_21"
"C201264","http://www.cdisc.org","e1347727-567a-4d51-a189-d38b1352fc75","After","2023-09-29","Code_23"
"C201265","http://www.cdisc.org","a8b951a0-8a50-4b2c-b74a-5d11e6ae9e93","Start to Start","2023-09-29","Code_24"
"C201264","http://www.cdisc.org","1ce712c7-760c-42c5-859f-974ca93f04d6","After","2023-09-29","Code_26"
"C201265","http://www.cdisc.org","8a53ef2b-0717-4a7f-9d3c-e525957d1bfd","Start to Start","2023-09-29","Code_27"
"C201264","http://www.cdisc.org","d859d7ba-d75c-4e0c-9a59-1fa8d5e487c2","After","2023-09-29","Code_29"
"C201265","http://www.cdisc.org","6f5334a2-7537-422e-ad84-2fc79a936e81","Start to Start","2023-09-29","Code_30"
"C201264","http://www.cdisc.org","b11cfc49-0377-4d1b-9e38-1d9a803ca814","After","2023-09-29","Code_31"
"C201265","http://www.cdisc.org","0ee739ca-e100-4c9a-9695-b345cb329f36","Start to Start","2023-09-29","Code_32"
"C201264","http://www.cdisc.org","d282f43d-75b3-4d17-b707-205104128509","After","2023-09-29","Code_34"
"C201265","http://www.cdisc.org","cbe82f08-0716-45e6-9793-91f8c5fd076e","Start to Start","2023-09-29","Code_35"
"C201264","http://www.cdisc.org","205f7a02-fac6-4435-97c5-f987ff3835ee","After","2023-09-29","Code_36"
"C201265","http://www.cdisc.org","38ddfcee-9627-4b22-b933-853a4a120c0a","Start to Start","2023-09-29","Code_37"
"C201264","http://www.cdisc.org","c6e2ca57-6625-4d00-91a6-21969ef1bbe6","After","2023-09-29","Code_39"
"C201265","http://www.cdisc.org","c0ea8b17-5452-4e61-a5af-df4c79fc480b","Start to Start","2023-09-29","Code_40"
"C201264","http://www.cdisc.org","c39f4438-e6df-4fc4-9a84-a79df0256414","After","2023-09-29","Code_41"
"C201265","http://www.cdisc.org","de681754-e933-4978-86f8-5135b07d2aaf","Start to Start","2023-09-29","Code_42"
"C201264","http://www.cdisc.org","8f75a5a1-cf8e-4100-a0db-54d9c10f4f12","After","2023-09-29","Code_44"
"C201265","http://www.cdisc.org","090b19b9-a5d6-4d55-9958-1200def021da","Start to Start","2023-09-29","Code_45"
"C201264","http://www.cdisc.org","a5c1da5e-ecd4-4671-b1d8-ebcb600c33ea","After","2023-09-29","Code_46"
"C201265","http://www.cdisc.org","f969c6d3-68ed-4211-bce3-8eaad9ba1d4d","Start to Start","2023-09-29","Code_47"
"C201264","http://www.cdisc.org","c354be00-c1e3-45e2-be65-b4127b77ded5","After","2023-09-29","Code_49"
"C201265","http://www.cdisc.org","b7383dd1-abbb-4610-906b-48cf188cf654","Start to Start","2023-09-29","Code_50"
"C201264","http://www.cdisc.org","3955458f-c35e-414a-8505-fa583042f9cb","Fixed Reference","2023-09-29","Code_52"
"C201265","http://www.cdisc.org","7a83c344-7db7-466e-a2be-9587fe452f87","Start to Start","2023-09-29","Code_53"
"C201264","http://www.cdisc.org","128da8c4-da68-4366-8e89-2bd75dfcf137","Fixed Reference","2023-09-29","Code_54"
"C201265","http://www.cdisc.org","1a1efb85-1528-4e51-82f7-95beae6fcf7f","Start to Start","2023-09-29","Code_55"
"C201264","http://www.cdisc.org","176ebc24-74c7-4dc7-8ba4-cbc5f5eb2d75","Fixed Reference","2023-09-29","Code_56"
"C201265","http://www.cdisc.org","1fde0940-85d6-406d-b8ff-5f3deb193fc2","Start to Start","2023-09-29","Code_57"
"C201264","http://www.cdisc.org","46d5577e-a400-41e3-a5ed-b483688601a6","After","2023-09-29","Code_58"
"C201265","http://www.cdisc.org","20021dcb-9e1e-491d-b4a7-c002376d941c","Start to Start","2023-09-29","Code_59"
"C201264","http://www.cdisc.org","8baa5432-29b8-4f2c-8f84-d2a4aeb67361","After","2023-09-29","Code_60"
"C201265","http://www.cdisc.org","ad68cdc9-6df5-463f-bbf2-a66d4241cf49","End to Start","2023-09-29","Code_61"
"C201264","http://www.cdisc.org","1eadf515-7b1b-46b8-9000-6a07436cd315","After","2023-09-29","Code_63"
"C201265","http://www.cdisc.org","e2769adb-2564-487e-b066-8ababed7eb3e","End to Start","2023-09-29","Code_64"
"C25508","http://www.cdisc.org","87ee5359-ab81-405d-ab10-38ae636a725d","Final","2023-09-29","Code_4"
"C99903x1","http://www.cdisc.org","497a5548-ad3d-40eb-ad68-c6b5c4cb40de","Protocol Effective Date","2023-09-29","Code_7"
"C41129","http://www.cdisc.org","10060695-8ffc-4c6d-a98d-9c75dad25c45","Region","2023-09-29","Code_9"
"150","ISO 3166 1 alpha3","d345bcbe-692b-4077-aaae-f9e5823b0a1c","Europe","2020-08","Code_8"
