"decode","uuid:ID","id","code","codeSystem","codeSystemVersion","instanceType"
"Beats per Minute","1794e3ce-970e-45b2-8c49-f0e9d91ba0f0","Code_247","C49673","http://www.cdisc.org","2023-09-29","Code"
"Count per Minute","e0c07272-5b3c-45e8-b662-36b85ae55f34","Code_248","C73688","NCI Thesaurus","","Code"
"Vital Signs Location","23a00a43-8bb0-4c93-b689-5ffca276eee8","Code_249","C83088","NCI Thesaurus","","Code"
"Vital Signs Laterality","2f498704-40b4-4335-af41-5a1e6a509b8d","Code_250","C123975","NCI Thesaurus","","Code"
"Test Method","90294bea-d475-4231-a008-6270ecf3f2bf","Code_251","C82535","NCI Thesaurus","","Code"
"Vital Signs Position","3f089bf9-4006-45bb-ab80-40ee1e0f9e6a","Code_252","C83114","NCI Thesaurus","","Code"
"Heart Rate","94efc510-7644-4898-bfff-4c9f98e5a0eb","Code_245","C49677","NCI Thesaurus","","Code"
"Vital Signs Result","c22ced01-c9b0-4f20-aa59-e77b4f42ee41","Code_254","C173522","NCI Thesaurus","","Code"
"Pascal","a5687e73-7300-4760-8f2c-23086058b3ca","Code_255","C42547","http://www.cdisc.org","2023-09-29","Code"
"Unit of Pressure","f4ad8739-28d1-4969-ab84-1b30849490e8","Code_256","C49669","NCI Thesaurus","","Code"
"Vital Signs Location","4f8c0828-dba3-4bca-9f66-527d58fc8994","Code_257","C83088","NCI Thesaurus","","Code"
"Vital Signs Laterality","50f2a9f8-5636-4e34-a7e8-ecc51164fc11","Code_258","C123975","NCI Thesaurus","","Code"
"Test Method","9de27e0f-19d2-4496-b3d2-fb939996bfab","Code_259","C82535","NCI Thesaurus","","Code"
"Vital Signs Position","f8c3823d-875e-4717-8031-23887e2df353","Code_260","C83114","NCI Thesaurus","","Code"
"Systolic Blood Pressure","db4329a6-95a4-47b5-ade9-405317afa556","Code_253","C25298","NCI Thesaurus","","Code"
"Vital Signs Result","f62a8af9-5d0a-4cb6-b2d1-c14fd7d59519","Code_262","C173522","NCI Thesaurus","","Code"
"Pascal","96dc5d7d-52ff-40c9-af31-bd6e13fcfbf6","Code_263","C42547","http://www.cdisc.org","2023-09-29","Code"
"Unit of Pressure","d5f8d96a-95ca-473d-8b5b-e2dfef8ea318","Code_264","C49669","NCI Thesaurus","","Code"
"Vital Signs Location","22bf1447-a1b6-4cc9-b9ce-627ed87e7d10","Code_265","C83088","NCI Thesaurus","","Code"
"Vital Signs Laterality","c81a8da4-ceba-4b1f-8373-f1168412aa67","Code_266","C123975","NCI Thesaurus","","Code"
"Test Method","6bdf300b-8889-416a-a020-56da7a73c0c4","Code_267","C82535","NCI Thesaurus","","Code"
"Vital Signs Position","19765c11-e1b3-451e-859c-bdfb1821e803","Code_268","C83114","NCI Thesaurus","","Code"
"Diastolic Blood Pressure","ed9864f6-8bea-44d9-a816-b225def46b47","Code_261","C25299","NCI Thesaurus","","Code"
"Vital Signs Result","19878319-6720-4ab5-93ad-daab37aaa101","Code_270","C173522","NCI Thesaurus","","Code"
"Beats per Minute","225050b7-32fe-4a2b-8a70-6cd6c81a57ea","Code_271","C49673","http://www.cdisc.org","2023-09-29","Code"
"Count per Minute","1fea93ad-5751-4525-bde0-bd85c7418c52","Code_272","C73688","NCI Thesaurus","","Code"
"Vital Signs Location","b7c3ce61-0a23-4d20-8ecc-dc05bb975460","Code_273","C83088","NCI Thesaurus","","Code"
"Vital Signs Laterality","f4541d2b-0a4d-497e-a091-471569ed7437","Code_274","C123975","NCI Thesaurus","","Code"
"Test Method","c58dc826-a794-4caf-bb56-5d4b6ce0f513","Code_275","C82535","NCI Thesaurus","","Code"
"Vital Signs Position","e4d88d65-a302-475e-8a7c-804a43176db7","Code_276","C83114","NCI Thesaurus","","Code"
"Heart Rate","cda61e18-bfdf-45ac-ba1b-7b75e639d0f8","Code_269","C49677","NCI Thesaurus","","Code"
"Placebo Comparator Arm","c90c654c-e2a2-4d53-8610-42219bc1c30c","Code_122","C174268","http://www.cdisc.org","2023-09-29","Code"
"Data Generated Within Study","69273693-07cb-421a-8c1e-93f87d0c8b0e","Code_123","C188866","http://www.cdisc.org","2023-09-29","Code"
"Active Comparator Arm","a665d537-8d73-4b7f-aed3-b964b5558b7c","Code_124","C174267","http://www.cdisc.org","2023-09-29","Code"
"Data Generated Within Study","ff033e40-d8ed-46e1-9161-9bec94709415","Code_125","C188866","http://www.cdisc.org","2023-09-29","Code"
"Active Comparator Arm","43874c41-dc94-4c20-a779-09b5fb1ae84b","Code_126","C174267","http://www.cdisc.org","2023-09-29","Code"
"Data Generated Within Study","592cf16d-f970-4ec5-b4a5-19f25cdd8e3f","Code_127","C188866","http://www.cdisc.org","2023-09-29","Code"
"Double Blind Study","60bc69c6-32f3-4253-8ee4-5d08cc17c886","Code_135","C15228","http://www.cdisc.org","2023-09-29","Code"
"Trial Screening","41103141-9abe-404d-98a8-d9f72d72b10a","Code_128","C48262","http://www.cdisc.org","2023-09-29","Code"
"Treatment Epoch","896f1621-231e-4ef9-8338-4be8dd6e0ea8","Code_129","C101526","http://www.cdisc.org","2023-09-29","Code"
"Treatment Epoch","b93f8c03-60d3-41c6-a5c0-caaf55322a3d","Code_130","C101526","http://www.cdisc.org","2023-09-29","Code"
"Treatment Epoch","3849eac6-27eb-4be9-955c-e98b0893f6d5","Code_131","C101526","http://www.cdisc.org","2023-09-29","Code"
"Clinical Study Follow-up","7cfa7b5d-96a3-41f0-bc0d-f44e49e4af12","Code_132","C99158","http://www.cdisc.org","2023-09-29","Code"
"Alzheimer's disease; unspecified","46be1cd8-773c-41be-9d56-98aeebadea92","Code_330","G30.9","ICD-10-CM","1","Code"
"Alzheimer's disease","789602e0-3d72-4aab-a2b2-f4fddb35eb05","Code_331","26929004","SNOMED","January 31, 2018","Code"
"Sponsor","d622e880-d4ae-421b-b307-4f5fcf4b09b0","Code_141","C70793","http://www.cdisc.org","2023-09-29","Code"
"Trial Primary Objective","e0b3f03e-4be0-403a-850b-b0332de4c066","Code_335","C85826","http://www.cdisc.org","2023-09-29","Code"
"Primary Endpoint","7eebe63d-b766-4ee0-89fd-effb3bc65001","Code_334","C94496","http://www.cdisc.org","2023-09-29","Code"
"Primary Endpoint","b49fd3f5-853f-4bdf-95a0-78d5f5d7070c","Code_336","C94496","http://www.cdisc.org","2023-09-29","Code"
"Trial Primary Objective","949422fa-7c7b-45e1-bd96-d7c409c18cc9","Code_338","C85826","http://www.cdisc.org","2023-09-29","Code"
"Primary Endpoint","6b212baa-db70-4a0c-880d-7ae1c9647d19","Code_337","C94496","http://www.cdisc.org","2023-09-29","Code"
"Primary Endpoint","147519bf-3482-418c-ab20-e1e302c4b6c3","Code_339","C94496","http://www.cdisc.org","2023-09-29","Code"
"Primary Endpoint","f9476780-91db-4087-ba2d-e1daa6486a81","Code_340","C94496","http://www.cdisc.org","2023-09-29","Code"
"Trial Secondary Objective","8cedfc7f-943e-43f7-b911-82b29763897f","Code_342","C85827","http://www.cdisc.org","2023-09-29","Code"
"Secondary Endpoint","ee76e944-b202-40a8-8b4c-21c0906a262c","Code_341","C139173","http://www.cdisc.org","2023-09-29","Code"
"Secondary Endpoint","2f26772e-dff0-4f74-9c55-f3b481689265","Code_343","C139173","http://www.cdisc.org","2023-09-29","Code"
"Secondary Endpoint","9050d7ce-452f-4091-b2bc-299cd2f27781","Code_344","C139173","http://www.cdisc.org","2023-09-29","Code"
"Inclusion Criteria","e9d18f2e-5054-4fda-bd80-3f86e13a12a3","Code_345","C25532","http://www.cdisc.org","2023-09-29","Code"
"Inclusion Criteria","31d3bc98-8032-4726-8e0b-ba9eb8b366af","Code_346","C25532","http://www.cdisc.org","2023-09-29","Code"
"Inclusion Criteria","f5ac326c-7ced-4560-b450-535fc0db0f17","Code_347","C25532","http://www.cdisc.org","2023-09-29","Code"
"Exclusion Criteria","f4ac827e-7383-4a27-8aff-9df565ad003a","Code_348","C25370","http://www.cdisc.org","2023-09-29","Code"
"Year","531a2ea6-78ad-44ff-8d9f-29ae9e9ef4f2","Code_332","C29848","http://www.cdisc.org","2023-09-29","Code"
"Before","29d56c6f-ea20-418f-9706-e2f1d6ea137a","Code_14","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","ad267ce7-65b4-445d-a492-36edb98b6e0e","Code_15","C201265","http://www.cdisc.org","2023-09-29","Code"
"Before","efe2a82d-8efc-43b6-8291-79d1ef5029d9","Code_16","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","78f87bf2-e9c3-4925-bb9c-09b1f45d1161","Code_17","C201265","http://www.cdisc.org","2023-09-29","Code"
"Fixed Reference","ef141551-aa88-4532-8d6b-58bf19e8b6a9","Code_19","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","6f758be4-c0f3-4395-9583-b234f06a08d4","Code_20","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","f0dcc2d6-1eec-4627-bc0d-d98a6424968d","Code_21","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","19c5a48d-0120-4397-9aa9-a13aed6222d3","Code_22","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","8bc7badb-c155-400a-ae71-29ae0df80d17","Code_24","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","53f7b527-b5f9-4468-93ab-5428a12a50fd","Code_25","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","3661af49-69d8-4b44-a2a1-968f537a9810","Code_27","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","0fbe0909-4313-413f-b0bf-21ca6a8dd439","Code_28","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","568d01f1-d980-4ce3-b194-11350e3dd1af","Code_30","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","b1d7a5e3-347b-4c73-959d-3751b2ba837a","Code_31","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","a8c3426f-213f-4615-b8b4-63c5b7d90fda","Code_35","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","4562e584-bee2-46ad-9bf0-e79d9d7d0cf9","Code_36","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","25b106a2-2941-4c44-b26a-414d8f9b224f","Code_40","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","897044e2-239c-409f-9b3a-244362d2c66f","Code_41","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","7df1a430-a4ea-47bb-bd54-acd48faf6e15","Code_45","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","1db79b62-5802-42d3-bdb8-e3a9b5a65c24","Code_46","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","cf1e591a-0f5d-4073-9895-b2a6b3e8e484","Code_50","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","b77161c5-d864-4f78-8953-1bbf4e9257b6","Code_51","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","7548e9ca-b17b-4f7a-bda6-12eb72c2496b","Code_53","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","869dadc0-442a-441b-b4b0-c5ecdeb8055a","Code_54","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","4d6730b9-0c1a-4ff6-b551-95825ee23353","Code_33","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","bc784663-3e84-471b-ad30-116088c4238c","Code_34","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","242ab8a5-c08d-4049-a1ca-377f3522ac73","Code_38","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","59ce8b8d-0e7a-4bb5-b562-1523fb7b8965","Code_39","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","5a0f9d4e-ca7d-4f21-9630-eb7211e71f46","Code_43","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","b3f2fc2c-257f-4b66-805a-8b514af7278e","Code_44","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","09eb635b-b634-42e7-95ee-7636e1730153","Code_48","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","c66ba3f6-47e6-44d4-a987-d8f5f2858586","Code_49","C201265","http://www.cdisc.org","2023-09-29","Code"
"Fixed Reference","0642d260-a467-4858-b5cf-eae2af08c9c3","Code_56","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","ef0dcb3d-9dc7-43e0-8853-ae996a387c4e","Code_57","C201265","http://www.cdisc.org","2023-09-29","Code"
"Fixed Reference","5b9f84bd-9210-4f97-bf55-4fa413b01aca","Code_58","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","3ad8706e-8d43-4afe-9bc2-388c2d0ebe80","Code_59","C201265","http://www.cdisc.org","2023-09-29","Code"
"Fixed Reference","251ad4a2-77d2-40b2-8499-09f6670ea8ae","Code_60","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","19242f26-61ab-442e-be18-05f1884f5b46","Code_61","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","33158b45-5384-49b2-8e1e-1e093d3b0265","Code_62","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","36345e9f-8845-4cc2-8583-6cb25bd70738","Code_63","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","c618a543-bc02-46d4-b0fc-918bc033b758","Code_64","C201264","http://www.cdisc.org","2023-09-29","Code"
"End to Start","896ba47c-5783-4379-b473-d461bb9bcbe6","Code_65","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","61860ed8-1093-4db9-ade3-ddc3b8843783","Code_66","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","917b279d-100e-4626-ba96-d5beac916831","Code_67","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","1a47bab8-1fa7-4569-bff1-504f7bbe184b","Code_68","C201264","http://www.cdisc.org","2023-09-29","Code"
"End to Start","76910534-c376-4e69-871e-e44af03be228","Code_69","C201265","http://www.cdisc.org","2023-09-29","Code"
"After","0c858c60-9a87-4e72-9ef9-95561549148f","Code_70","C201264","http://www.cdisc.org","2023-09-29","Code"
"Start to Start","45c56d5b-5dff-401f-bd3f-fbd6c948581d","Code_71","C201265","http://www.cdisc.org","2023-09-29","Code"
"Clinical Study Sponsor","d127679a-6a65-4ce5-a0e6-57e1c7995f52","Code_349","C70793","http://www.cdisc.org","2023-09-29","Code"
"United Kingdom of Great Britain and Northern Ireland","f8610be4-c48a-42a4-837a-dc3240697621","Code_350","GBR","ISO 3166 1 alpha3","2020-08","Code"
"Study Acronym","366bb933-69f9-4eb1-9038-9bc3a34beea6","Code_3","C94108","http://www.cdisc.org","2023-09-29","Code"
"Brief Study Title","4521ef31-7dc5-4510-8857-8eee3229980a","Code_5","C99905x1","http://www.cdisc.org","2023-09-29","Code"
"Official Study Title","b71fbaf3-8e01-4cc2-b6c1-c95e9642ac25","Code_6","C99905x2","http://www.cdisc.org","2023-09-29","Code"
"Public Study Title","b4ccd84b-f698-4e72-b320-44ad8d73416f","Code_7","C99905x3","http://www.cdisc.org","2023-09-29","Code"
"Final","04357bd4-8264-4429-a843-8273014c1d1a","Code_8","C25508","http://www.cdisc.org","2023-09-29","Code"
"Protocol Effective Date","75f2a199-2600-4d6f-8557-5940f66389f4","Code_11","C99903x1","http://www.cdisc.org","2023-09-29","Code"
"Region","841646b1-0606-4dec-85c1-a619bcea4310","Code_13","C41129","http://www.cdisc.org","2023-09-29","Code"
"Europe","b75a6dd3-5fa1-482d-97a1-63a5e7e35e05","Code_12","150","ISO 3166 1 alpha3","2020-08","Code"
