"code","codeSystem","codeSystemVersion","decode","id","uuid:ID"
"C83114","NCI Thesaurus","","Vital Signs Position","Code_240","fe9a2bb6-c03f-4a48-89a6-663c3037b1ce"
"C25299","NCI Thesaurus","","Diastolic Blood Pressure","Code_233","727a5794-d0a5-4486-8f08-86733565121b"
"C174268","http://www.cdisc.org","2023-09-29","Placebo Comparator Arm","Code_104","23bb3129-f30e-4b67-aa04-5180f3b7da0c"
"C188866","http://www.cdisc.org","2023-09-29","Data Generated Within Study","Code_105","b39b46be-d705-423b-b8a2-a720ba44f0e0"
"C174267","http://www.cdisc.org","2023-09-29","Active Comparator Arm","Code_106","815cc531-4c6c-4724-aa51-5db8d18b9a94"
"C188866","http://www.cdisc.org","2023-09-29","Data Generated Within Study","Code_107","73cd225f-3a5f-494a-ada7-b522a32ca053"
"C174267","http://www.cdisc.org","2023-09-29","Active Comparator Arm","Code_108","ee11ab91-3f6a-4b8b-8d99-25c0b03c28be"
"C188866","http://www.cdisc.org","2023-09-29","Data Generated Within Study","Code_109","752dbda7-c325-4bdc-9d66-53a9a5d38134"
"C15228","http://www.cdisc.org","2023-09-29","Double Blind Study","Code_117","2d4e9231-9f23-4e8f-9232-99b5865a75d0"
"C48262","http://www.cdisc.org","2023-09-29","Trial Screening","Code_110","36709023-a40d-42ad-8c7d-11c3b2bb7be2"
"C101526","http://www.cdisc.org","2023-09-29","Treatment Epoch","Code_111","44a8988e-e340-43c3-8842-4c6866c70d0b"
"C101526","http://www.cdisc.org","2023-09-29","Treatment Epoch","Code_112","04ad68dd-0514-484f-85eb-5467d1496f51"
"C101526","http://www.cdisc.org","2023-09-29","Treatment Epoch","Code_113","8ccf4555-2293-4fcd-b1c9-f6317455da46"
"C99158","http://www.cdisc.org","2023-09-29","Clinical Study Follow-up","Code_114","08a6adeb-bcfd-4afa-b96a-247318e573fc"
"G30.9","ICD-10-CM","1","Alzheimer's disease; unspecified","Code_294","7c620050-a750-4729-b315-b89a16b7906e"
"26929004","SNOMED","January 31, 2018","Alzheimer's disease","Code_295","b2743a46-effb-478f-a163-c84b292c1cd8"
"C85826","http://www.cdisc.org","2023-09-29","Trial Primary Objective","Code_298","94fbe0cf-6791-45bf-971f-3b86625a60e1"
"C94496","http://www.cdisc.org","2023-09-29","Primary Endpoint","Code_297","beb36141-f580-43f2-a167-d1540e5bc700"
"C94496","http://www.cdisc.org","2023-09-29","Primary Endpoint","Code_299","62951b96-8fdd-4ffe-8f69-ba1ab3ce63da"
"C85826","http://www.cdisc.org","2023-09-29","Trial Primary Objective","Code_301","c5a7c9fa-ce78-454b-af76-04e919ae1f98"
"C94496","http://www.cdisc.org","2023-09-29","Primary Endpoint","Code_300","aa7e6be1-0c4c-4714-b063-60f15ed41598"
"C94496","http://www.cdisc.org","2023-09-29","Primary Endpoint","Code_302","bc9f7ca0-7527-4c51-bd20-b64b8f5758a8"
"C94496","http://www.cdisc.org","2023-09-29","Primary Endpoint","Code_303","437de608-7e02-4ad3-9f5a-781558013d4e"
"C85827","http://www.cdisc.org","2023-09-29","Trial Secondary Objective","Code_305","97849231-b80e-4634-aa54-d43b0713e0ea"
"C139173","http://www.cdisc.org","2023-09-29","Secondary Endpoint","Code_304","b3a42dc0-da2b-43bf-9f60-09c81adb44c6"
"C139173","http://www.cdisc.org","2023-09-29","Secondary Endpoint","Code_306","e8073545-506b-4e66-a67e-c2bb299eddad"
"C139173","http://www.cdisc.org","2023-09-29","Secondary Endpoint","Code_307","1b069163-d6b6-4fdd-85a3-83adac554a6d"
"C49636","http://www.cdisc.org","2023-09-29","Both","Code_296","0c2f186d-aa9a-47fd-82fb-a2aaeac218f7"
"C201264","http://www.cdisc.org","2023-09-29","Before","Code_10","03579a8c-6e8e-44b5-9bec-e048d210d8f1"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_11","63fc4318-fefe-4bfb-bb66-713a7c503387"
"C201264","http://www.cdisc.org","2023-09-29","Before","Code_12","f89bf49e-bfd9-44ba-b67b-4118cd6c8286"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_13","33cec2da-8b51-4e87-9386-7e0fcf1d7feb"
"C201264","http://www.cdisc.org","2023-09-29","Fixed Reference","Code_14","aa30000a-7944-4431-8b3e-5511351b7b0a"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_15","157e6807-1559-4d20-abdf-0a2f517f60f0"
"C201264","http://www.cdisc.org","2023-09-29","After","Code_16","9dae249b-21e1-4702-a790-0f0aa9a2b102"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_17","96b152fe-7aef-4e14-bb7e-c37ad3d33051"
"C201264","http://www.cdisc.org","2023-09-29","After","Code_18","57b3d992-83f5-4a98-93ce-0dafd38c2dfc"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_19","bddfcd0b-5d8e-4341-9161-76c788e9ec95"
"C201264","http://www.cdisc.org","2023-09-29","After","Code_20","4b52d992-de64-4f13-93dc-3bea2dda97e0"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_21","ad665bc9-be05-4d56-9fbd-5d0fa6212491"
"C201264","http://www.cdisc.org","2023-09-29","After","Code_22","0ea84638-835f-4ab8-a9bb-14c1279ebbe2"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_23","c1700841-6299-4b6d-9471-9c07b9925498"
"C201264","http://www.cdisc.org","2023-09-29","After","Code_24","4023f430-e572-49b0-8203-a2e7cfd65d57"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_25","e111507a-8167-4a8d-b332-c1799afaf52b"
"C201264","http://www.cdisc.org","2023-09-29","After","Code_26","f124124c-0850-4138-8d19-ef554e6a7724"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_27","d1108e60-3ca5-433a-bfd3-6e71e908c628"
"C201264","http://www.cdisc.org","2023-09-29","After","Code_28","43715ebd-e5c6-4cb3-9b71-399e3d7bcba2"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_29","a6fbef56-dda0-44d5-be75-a2ae591e3cff"
"C201264","http://www.cdisc.org","2023-09-29","After","Code_30","1b379e3b-dfb8-4abd-9f9c-0f332b114c03"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_31","6a0405dd-5a89-4ff5-b4b3-a5fe25769744"
"C201264","http://www.cdisc.org","2023-09-29","After","Code_32","57398ed5-3812-4a42-852d-494866915c3f"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_33","bc68d818-9bcd-402a-a54e-544168d7d274"
"C201264","http://www.cdisc.org","2023-09-29","After","Code_34","b9f29b3a-0cd1-48ba-8bb8-be1ee7cd734c"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_35","6980f5ea-e833-4b42-95e3-c0948e26134b"
"C201264","http://www.cdisc.org","2023-09-29","After","Code_36","8c4f1824-d326-4b3f-8b5c-bf750bce103b"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_37","5542b085-8b5a-489c-a783-39b98809d317"
"C201264","http://www.cdisc.org","2023-09-29","After","Code_38","00c5c974-e921-40bd-a5a8-d7e861da6dba"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_39","13bc1ed5-7b81-45e1-a798-587ac647c75a"
"C201264","http://www.cdisc.org","2023-09-29","After","Code_40","8ad91797-2a58-428e-9c40-cfb8049b8a8c"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_41","55a73cd3-7301-4f8f-a3a1-7f83c0c7caec"
"C201264","http://www.cdisc.org","2023-09-29","Fixed Reference","Code_42","cfaaedba-25b0-47cf-83fd-bebcdf9cddb8"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_43","6a8b4da7-f72b-43e1-a3f3-979a6623d052"
"C201264","http://www.cdisc.org","2023-09-29","Fixed Reference","Code_44","edc17e1b-ee97-45be-a7be-60cda92909c5"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_45","566d675d-2806-4478-b556-598bf7d3cff0"
"C201264","http://www.cdisc.org","2023-09-29","Fixed Reference","Code_46","0ab097f4-109b-4bfe-a31e-c2639d9dc707"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_47","d75ae7ba-9618-4a9f-8c8b-206de54c13bf"
"C201264","http://www.cdisc.org","2023-09-29","After","Code_48","116803a6-8fe2-47bf-bece-3c3ddae43231"
"C201265","http://www.cdisc.org","2023-09-29","Start to Start","Code_49","353f1687-879d-4c0f-a2b4-6dcf8c0d0226"
"C201264","http://www.cdisc.org","2023-09-29","After","Code_50","fec67dfd-260c-4a24-ae29-87820f1e0e66"
"C201265","http://www.cdisc.org","2023-09-29","End to Start","Code_51","5b9fbed1-3f51-4672-a017-fee03970398e"
"C201264","http://www.cdisc.org","2023-09-29","After","Code_52","17d743e9-210a-4bff-a305-e3f506c87a3c"
"C201265","http://www.cdisc.org","2023-09-29","End to Start","Code_53","25d64c15-288f-4408-9226-0c9a3540f399"
"C25532","http://www.cdisc.org","2023-09-29","Inclusion Criteria","Code_308","c19ad371-945b-48fb-a0a1-257a91be2d67"
"C25532","http://www.cdisc.org","2023-09-29","Inclusion Criteria","Code_309","12256adc-4a18-4fe9-adc1-84e67fe06437"
"C25532","http://www.cdisc.org","2023-09-29","Inclusion Criteria","Code_310","eef0e544-7863-44b2-885e-1fe56d741e78"
"C25370","http://www.cdisc.org","2023-09-29","Exclusion Criteria","Code_311","e6269487-19bc-4f26-881a-25e51b35a5c0"
"C25508","http://www.cdisc.org","2023-09-29","Final","Code_4","2e4d5a7c-2ccb-4603-a2b9-9fb32217ba16"
"C99903x1","http://www.cdisc.org","2023-09-29","Protocol Effective Date","Code_7","b78ed743-3119-4cdc-90c9-55d431dd9600"
"C41129","http://www.cdisc.org","2023-09-29","Region","Code_9","dde81f8e-5500-41a1-b38c-da5be2948528"
"150","ISO 3166 1 alpha3","2020-08","Europe","Code_8","714e3a01-bd1b-4739-9361-0245c679f2d4"
