"decode","codeSystemVersion","code","uuid:ID","id","instanceType","codeSystem"
"Disabling Adverse Event","2023-12-15","C113380","96f9a2f8-731f-4501-8fbe-7a1f48e91cf1","Code_169","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","cf359569-89b3-438a-8432-4de07ac46269","Code_170","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","7b5bfde6-9cbb-42bd-99ee-a3d57fdd6843","Code_171","Code","http://www.cdisc.org"
"Death Related to Adverse Event","2023-12-15","C48275","dcc4b449-2640-445e-a904-7719ddf5606a","Code_172","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","ac5ce9bb-5657-4608-ae1d-511bf89ed41b","Code_173","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","a1c884e7-2a66-44e6-9cf8-3421e3bcd707","Code_174","Code","http://www.cdisc.org"
"Adverse Event associated with Hospitalization","2023-12-15","C83052","9d3c95e9-6aaa-42d3-967a-517a61d85afa","Code_175","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","cd605125-3e3f-4e16-b977-8bcac450c0e9","Code_176","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","ec7c78c1-e317-4cc1-871d-0917de0a1626","Code_177","Code","http://www.cdisc.org"
"Life Threatening Adverse Event","2023-12-15","C84266","a8ab22ec-4122-4d50-9fb7-4ed85b7726ec","Code_178","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","13586f70-47bd-4fbd-ae94-480441445bd9","Code_179","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","9edd5025-8e70-4f6a-a847-c543e5cf3fd0","Code_180","Code","http://www.cdisc.org"
"Adverse Event Occurred with Overdose","2023-12-15","C83214","ca4f4fb4-e1a1-4e80-a853-223faf7bbf26","Code_181","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","cab213bf-f894-4e75-ad58-f36e82817df6","Code_182","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","89ea2075-0cfc-40db-82e3-95d33a7c19ea","Code_183","Code","http://www.cdisc.org"
"Adverse Event Associated with Serious Medical Event","2023-12-15","C83053","936418be-5c96-4889-b8a5-a92f0e39718b","Code_184","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","e034f632-2f5d-425d-801c-60c39bc9d858","Code_185","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","f09bfa8e-1727-4d35-a437-454fe5e02f96","Code_186","Code","http://www.cdisc.org"
"Adverse Event Concomitant Treatment","2023-12-15","C83199","753d0101-33f6-44e6-9b1b-d9a9a5dc4fe3","Code_187","Code","http://www.cdisc.org"
"Adverse Event Start Date Time","2023-12-15","C83215","36ba75e5-76d0-4d29-825a-5ba3a6b7465f","Code_188","Code","http://www.cdisc.org"
"Adverse Event End Date Time","2023-12-15","C83201","20e2db4a-1580-4b42-8843-45560be677f8","Code_189","Code","http://www.cdisc.org"
"Solicited Adverse Event","2023-12-15","C179175","22b5c78c-5315-40bd-9ec1-4f60d4256b00","Code_190","Code","http://www.cdisc.org"
"SYSBP","2023-12-15","C25298","dfd019b6-b476-411d-b902-360f8008ab5e","Code_191","Code","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","C77140","acbfec99-7a32-4e04-929f-345361b37db1","Code_192","Code","http://www.cdisc.org"
"Unit of Pressure","2023-12-15","C49669","2cb40984-c4e5-42b4-a32d-6a3a3e035a32","Code_193","Code","http://www.cdisc.org"
"Sitting","2023-12-15","C62122","85c024a0-88da-4d21-8350-29c5eb811bae","Code_194","Code","http://www.cdisc.org"
"Standing","2023-12-15","C62166","504629c9-4bf9-4822-aed9-e068197d7b8f","Code_195","Code","http://www.cdisc.org"
"Supine Position","2023-12-15","C62167","8bfb2e9d-2c39-4ef4-a3f3-546a43e45a35","Code_196","Code","http://www.cdisc.org"
"Body Position","2023-12-15","C62164","26dbe461-dd7b-48b4-9d5f-90471c0e4d45","Code_197","Code","http://www.cdisc.org"
"Brachial Artery","2023-12-15","C12681","3528ca96-fdb0-407e-b7a8-2d77fcd21714","Code_198","Code","http://www.cdisc.org"
"Common Carotid Artery","2023-12-15","C12687","4431bcc0-5938-405c-8fe5-73cad635dfe1","Code_199","Code","http://www.cdisc.org"
"Dorsalis Pedis Artery","2023-12-15","C32478","e18827cd-e079-4e77-8880-6393e0bd7f1a","Code_200","Code","http://www.cdisc.org"
"Femoral Artery","2023-12-15","C12715","f4a6940e-0163-4c83-a843-5b36fe7901de","Code_201","Code","http://www.cdisc.org"
"Radial Artery","2023-12-15","C12838","8409c0af-4e68-409e-8077-5d541207a990","Code_202","Code","http://www.cdisc.org"
"Anatomic Site","2023-12-15","C13717","e4e6e7cf-d478-45b9-bf77-8e9d0145e535","Code_203","Code","http://www.cdisc.org"
"Left","2023-12-15","C25229","83bca17e-4299-4318-b326-dcf4e54e3b1a","Code_204","Code","http://www.cdisc.org"
"Right","2023-12-15","C25228","ad771bbd-1cde-462d-b147-f069faa79275","Code_205","Code","http://www.cdisc.org"
"Laterality","2023-12-15","C25185","8df7cc86-8b37-488a-a5fd-c32f5be94b4e","Code_206","Code","http://www.cdisc.org"
"SYSBP","2023-12-15","C25298","9a76d63d-3d44-4d08-bc1a-3bd65e579790","Code_207","Code","http://www.cdisc.org"
"DIABP","2023-12-15","C25299","03368c9e-0771-4446-9f49-14af21ce52b9","Code_208","Code","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","C77140","945e814b-94ad-4b34-8271-99aa8504cedb","Code_209","Code","http://www.cdisc.org"
"Unit of Pressure","2023-12-15","C49669","0aca1707-3092-40ef-acd0-8101c8712339","Code_210","Code","http://www.cdisc.org"
"Sitting","2023-12-15","C62122","1b41d0e8-5582-44c8-b2fa-9d0f940cab8e","Code_211","Code","http://www.cdisc.org"
"Standing","2023-12-15","C62166","7e24e8f6-1f87-46b4-abab-2ccf74f6264c","Code_212","Code","http://www.cdisc.org"
"Supine Position","2023-12-15","C62167","a42395b3-351c-40d4-8cc8-8c626668f6da","Code_213","Code","http://www.cdisc.org"
"Body Position","2023-12-15","C62164","ee51b043-1ce8-4b77-8325-ebc2bb8cee49","Code_214","Code","http://www.cdisc.org"
"Brachial Artery","2023-12-15","C12681","e1828ccc-73e9-4394-8839-a650be72cd38","Code_215","Code","http://www.cdisc.org"
"Common Carotid Artery","2023-12-15","C12687","a7f3b57a-9e93-4482-8b9b-1c10240ddf18","Code_216","Code","http://www.cdisc.org"
"Dorsalis Pedis Artery","2023-12-15","C32478","34593ef3-d2ff-4a44-ae7d-1e262e166abc","Code_217","Code","http://www.cdisc.org"
"Femoral Artery","2023-12-15","C12715","06b385eb-1246-419d-a580-f239810dc11f","Code_218","Code","http://www.cdisc.org"
"Radial Artery","2023-12-15","C12838","9331e602-4252-4106-b1f0-75d14aca8a65","Code_219","Code","http://www.cdisc.org"
"Anatomic Site","2023-12-15","C13717","b2734e7b-0167-4f1b-b449-afa5332640c0","Code_220","Code","http://www.cdisc.org"
"Left","2023-12-15","C25229","8e6328ad-cb98-47e1-bdfc-05c91bd96d06","Code_221","Code","http://www.cdisc.org"
"Right","2023-12-15","C25228","cf8ddd77-735a-4537-8829-2394bc6ef7cf","Code_222","Code","http://www.cdisc.org"
"Laterality","2023-12-15","C25185","afe2c8ca-98e3-4533-a79b-b91b45f9fecd","Code_223","Code","http://www.cdisc.org"
"DIABP","2023-12-15","C25299","ca49daa6-585d-4520-8ffc-e36775a4ea1a","Code_224","Code","http://www.cdisc.org"
"TEMP","2023-12-15","C174446","e2e83bc1-4ac1-45d8-8113-0a24f0c85a44","Code_225","Code","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","C77140","5898f2d2-2419-486b-b0d7-603e06e028ae","Code_226","Code","http://www.cdisc.org"
"Degree Celsius","2023-12-15","C42559","0c4b8311-509e-4273-8ef4-8e47bcfe457f","Code_227","Code","http://www.cdisc.org"
"Degree Fahrenheit","2023-12-15","C44277","3fc5c4e3-2551-410a-bc88-f8568da32fac","Code_228","Code","http://www.cdisc.org"
"Kelvin","2023-12-15","C42537","66abc9b0-5384-4be6-932e-bb308f5f8862","Code_229","Code","http://www.cdisc.org"
"Unit of Temperature","2023-12-15","C44276","e45125ff-35e1-485b-9245-bf42b59edb4d","Code_230","Code","http://www.cdisc.org"
"Axilla","2023-12-15","C12674","2e532d3d-3139-4b99-a27b-50ac23067841","Code_231","Code","http://www.cdisc.org"
"Ear","2023-12-15","C12394","7b401d2b-76ec-4995-834e-a6d3b4775ffe","Code_232","Code","http://www.cdisc.org"
"Forehead","2023-12-15","C89803","b22efb1e-6da7-495a-9601-c1db82482cbf","Code_233","Code","http://www.cdisc.org"
"Oral Cavity","2023-12-15","C12421","967ddf42-6c14-42dc-98f7-7a414dffcf4b","Code_234","Code","http://www.cdisc.org"
"Rectum","2023-12-15","C12390","4085dad2-0d9e-470e-b260-c1e55ac093c0","Code_235","Code","http://www.cdisc.org"
"Anatomic Site","2023-12-15","C13717","8bb8152c-abf2-44d4-994e-8cf97de0268e","Code_236","Code","http://www.cdisc.org"
"TEMP","2023-12-15","C174446","6161ef1d-3eef-4198-b396-81066e8d15db","Code_237","Code","http://www.cdisc.org"
"WEIGHT","2023-12-15","C25208","8394d801-0221-40b6-a56e-95c9d6c51c0e","Code_238","Code","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","C77140","a67126de-89a1-45a1-9ccf-4db15cc215ed","Code_239","Code","http://www.cdisc.org"
"Pound","2023-12-15","C48531","d06b443b-6a3d-42be-b41e-d0b0b3a312f6","Code_240","Code","http://www.cdisc.org"
"Gram","2023-12-15","C48155","de46d87f-a3df-4db2-8f1c-d36ebe06e053","Code_241","Code","http://www.cdisc.org"
"Kilogram","2023-12-15","C28252","6e5c06b9-0c70-4786-be36-8158fe0a59e7","Code_242","Code","http://www.cdisc.org"
"Unit of Weight","2023-12-15","C48208","900668d0-c411-4894-9541-eb99eb601233","Code_243","Code","http://www.cdisc.org"
"WEIGHT","2023-12-15","C25208","440a3219-1208-4c14-b7bb-6471a42ff289","Code_244","Code","http://www.cdisc.org"
"HEIGHT","2023-12-15","C25347","56b1acd8-e791-4ac9-9f08-80cd37f3b7ec","Code_245","Code","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","C77140","7cbfd3c4-cc07-493a-a2f0-4ae4c310eaff","Code_246","Code","http://www.cdisc.org"
"Centimeter","2023-12-15","C49668","84d655de-a320-49c2-acc7-3b211d53ae4b","Code_247","Code","http://www.cdisc.org"
"Inch","2023-12-15","C48500","b94cb62b-7cdd-4a91-8d02-bb1caad1cc34","Code_248","Code","http://www.cdisc.org"
"Meter","2023-12-15","C41139","b7f66458-3128-4ad8-a081-0ec23bb8d53e","Code_249","Code","http://www.cdisc.org"
"Unit of Height","2023-12-15","C168688","4f511aea-314b-4288-8b32-3f8f1f9589fd","Code_250","Code","http://www.cdisc.org"
"HEIGHT","2023-12-15","C25347","10384425-8505-41d0-9654-2501c5655f6b","Code_251","Code","http://www.cdisc.org"
"ALT","2023-12-15","C64433","0c3cc0f0-01df-4285-bf2e-8bc03e9326da","Code_252","Code","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","C36292","18082536-07f3-4c74-b00e-42b3da341efe","Code_253","Code","http://www.cdisc.org"
"Unit per Liter","2023-12-15","C67456","7b063215-f408-4670-b96b-6da8f550706b","Code_254","Code","http://www.cdisc.org"
"Microkatal per Liter","2023-12-15","C67397","6a2ec852-65bf-4ba9-97d2-cda7415d8bb1","Code_255","Code","http://www.cdisc.org"
"International Unit per Liter","2023-12-15","C67376","525052a6-ef34-4e95-ac33-e301a7ddd59e","Code_256","Code","http://www.cdisc.org"
"Nanokatal per Liter","2023-12-15","C70510","140e0d1e-6793-49e8-88d2-87ce6b585bba","Code_257","Code","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","2023-12-15","C67365","679de0a8-e28e-458a-ad1a-85c6e7e2af16","Code_258","Code","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","C70713","bd8b03ad-4c41-4f90-ace8-2aa124645c6c","Code_259","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","788d30ac-4da4-4141-a1aa-e5341e7b25f4","Code_260","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","96835446-8af8-41b1-9fd0-2badfae4fff8","Code_261","Code","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","C83309","3b4a1aa9-7693-4bd5-a04b-7d1b102c4771","Code_262","Code","http://www.cdisc.org"
"ALT","2023-12-15","C64433","db87ba4c-4f02-421e-ac99-ad48db087485","Code_263","Code","http://www.cdisc.org"
"ALB","2023-12-15","C64431","827f02bd-f2df-43c3-8efb-e368a3c4bb36","Code_264","Code","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","C36292","5a7c5e49-cac6-4be3-b592-e3f135ae85f2","Code_265","Code","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","C70713","5923e9ab-557c-4f01-95a2-f707d0641eb3","Code_266","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","22ba9658-dea4-4aa8-b786-5cae3cc908c3","Code_267","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","362e7524-7352-4b9b-8e49-c2f6e0ec4df0","Code_268","Code","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","C83309","734572b0-8ecf-4a7e-baac-9205c365dab9","Code_269","Code","http://www.cdisc.org"
"ALB","2023-12-15","C64431","fffa3805-8bf1-487d-a02d-d3f9ebe4a61f","Code_270","Code","http://www.cdisc.org"
"ALP","2023-12-15","C64432","7b38f44a-9f93-4001-80b6-5bbfdbd3c3ef","Code_271","Code","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","C36292","14f92e4e-5105-4faf-be16-220a430b0475","Code_272","Code","http://www.cdisc.org"
"Unit per Liter","2023-12-15","C67456","e6bbab18-cf79-43cf-8dfc-2902d98b48bf","Code_273","Code","http://www.cdisc.org"
"Microkatal per Liter","2023-12-15","C67397","6c98eebf-f848-4bfd-aa23-a99426dc62f4","Code_274","Code","http://www.cdisc.org"
"International Unit per Liter","2023-12-15","C67376","88f7e454-2c44-4835-8505-1cbf1f3be841","Code_275","Code","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","2023-12-15","C67365","4dd87532-59eb-43eb-b665-58cd90a61e20","Code_276","Code","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","C70713","2191f07b-708f-464a-b845-444e4e13231d","Code_277","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","474497c8-821d-4f04-a152-e3f5c3a35bb2","Code_278","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","6a1b09c3-d28f-4b97-9f70-6db4377f566c","Code_279","Code","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","C83309","05fdc353-27fc-4906-b054-1cd4483ebd5c","Code_280","Code","http://www.cdisc.org"
"ALP","2023-12-15","C64432","7179f594-e7af-4539-835e-e68a2bcbc3f9","Code_281","Code","http://www.cdisc.org"
"AST","2023-12-15","C64467","d0bb64e7-7e17-4780-a828-26d9afa6e8f6","Code_282","Code","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","C36292","6e0a9379-3a7a-4ce6-abe2-bc3ec074d84f","Code_283","Code","http://www.cdisc.org"
"Unit per Liter","2023-12-15","C67456","ad4153b4-a9cd-4cb2-9373-c1d2badf6c66","Code_284","Code","http://www.cdisc.org"
"Microkatal per Liter","2023-12-15","C67397","e9c97e78-3b30-448e-a7ed-422144ab9392","Code_285","Code","http://www.cdisc.org"
"International Unit per Liter","2023-12-15","C67376","7e700488-f9a3-449c-8089-e53c6dcbccd3","Code_286","Code","http://www.cdisc.org"
"Unit of Catalytic Activity Concentration","2023-12-15","C67365","130bc2be-e40e-4393-9bc0-1a5f764a6e73","Code_287","Code","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","C70713","ad0e099b-ce07-44c2-a990-da5a07d490b7","Code_288","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","c6fa83a5-18a3-4b07-942d-5a702952d6f5","Code_289","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","387be006-55ee-47da-bed6-24096951b961","Code_290","Code","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","C83309","fb01673f-099e-46e1-9d99-36fc7ac52a12","Code_291","Code","http://www.cdisc.org"
"AST","2023-12-15","C64467","724a9870-3e96-4f9b-84e2-f4fd1274e1c0","Code_292","Code","http://www.cdisc.org"
"CREAT","2023-12-15","C64547","5c2228b7-5d06-4f04-9751-db7ad82e53af","Code_293","Code","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","C36292","ad0618e4-e9de-429b-982b-0bc59035b80c","Code_294","Code","http://www.cdisc.org"
"Milligram per Deciliter","2023-12-15","C67015","348dc3d2-ecf7-4ac4-a0d9-c898d909a3bd","Code_295","Code","http://www.cdisc.org"
"Microgram per Milliliter","2023-12-15","C64572","fde3a863-f9bf-4170-9dcd-56532c2f3411","Code_296","Code","http://www.cdisc.org"
"Millimole per Liter","2023-12-15","C64387","c3e45198-d168-4a46-b20d-84eeb23e7221","Code_297","Code","http://www.cdisc.org"
"Micromole per Liter","2023-12-15","C48508","18c4d6eb-c825-4516-960b-6c237bf2c05f","Code_298","Code","http://www.cdisc.org"
"Unit of Concentration","2023-12-15","C48207","f9d18953-ac3c-46c6-be27-7668ec97188f","Code_299","Code","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","C70713","6919387e-a6ce-42e0-bb44-af44a0e7d8ae","Code_300","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","3b353f23-a9cf-47bd-b486-fd453bfa9594","Code_301","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","2cda3a88-5193-4ccc-aab2-cbaa1f281c82","Code_302","Code","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","C83309","d2c4751a-3db4-4da6-87b9-8c30d7bff6fb","Code_303","Code","http://www.cdisc.org"
"CREAT","2023-12-15","C64547","a5f30bce-c2db-4263-b898-98fd4d762b44","Code_304","Code","http://www.cdisc.org"
"K","2023-12-15","C64853","71a4a0e3-cf85-401f-ade9-c1191364aded","Code_305","Code","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","C36292","8e949ea0-17e6-4dec-b9ad-efae0ff693ec","Code_306","Code","http://www.cdisc.org"
"Milliequivalent per Liter","2023-12-15","C67474","33f46cf1-482d-40e6-9d75-a33fe52b854a","Code_307","Code","http://www.cdisc.org"
"Milliequivalent per Deciliter","2023-12-15","C67473","c214051f-c9c9-4422-9d92-25d203cde87a","Code_308","Code","http://www.cdisc.org"
"Millimole per Liter","2023-12-15","C64387","5dbf7463-ce8e-4ed2-b8be-55e20bf12b69","Code_309","Code","http://www.cdisc.org"
"Molarity Unit","2023-12-15","C64567","cde60394-2b9b-474e-9be0-8fc240491e22","Code_310","Code","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","C70713","bc9146c8-112a-422f-a916-ecad23b17f1b","Code_311","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","630d9b3f-0679-4082-8f2a-2ba60d29578a","Code_312","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","07c789a0-eec8-44ae-b40c-0c7b18ab84c1","Code_313","Code","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","C83309","69529cc2-e0a7-448c-bdea-33392fda9fb0","Code_314","Code","http://www.cdisc.org"
"K","2023-12-15","C64853","ac6b9a22-683d-4311-b99d-19989be60f27","Code_315","Code","http://www.cdisc.org"
"SODIUM","2023-12-15","C64809","2d994a22-980a-408a-8e7a-fb65a51c99ae","Code_316","Code","http://www.cdisc.org"
"Laboratory Test Result","2023-12-15","C36292","61e8d850-fec9-43f8-937b-4f42ac0c063b","Code_317","Code","http://www.cdisc.org"
"Milliequivalent per Liter","2023-12-15","C67474","4fc4d426-b12d-4e69-bf3c-6d0512186655","Code_318","Code","http://www.cdisc.org"
"Milliequivalent per Deciliter","2023-12-15","C67473","6ce2e28e-d63a-48bd-a0cd-e47a18326f07","Code_319","Code","http://www.cdisc.org"
"Millimole per Liter","2023-12-15","C64387","319056d9-bf92-4efc-9a49-de65dddc31cf","Code_320","Code","http://www.cdisc.org"
"Molarity Unit","2023-12-15","C64567","5cc62e86-c0de-45c4-902d-e6934af61733","Code_321","Code","http://www.cdisc.org"
"Biospecimen Type","2023-12-15","C70713","c5cde53c-3b8b-4e20-89f5-29325efb7cb4","Code_322","Code","http://www.cdisc.org"
"No","2023-12-15","C49487","4757fdf2-5272-45fb-a0d3-7c03f3ce95ac","Code_323","Code","http://www.cdisc.org"
"Yes","2023-12-15","C49488","9efaac4a-efd4-4aa3-81ec-64bd57328fc9","Code_324","Code","http://www.cdisc.org"
"Laboratory Test Fasting Status","2023-12-15","C83309","2a1988b8-2fd3-4567-a1d7-789d63a74300","Code_325","Code","http://www.cdisc.org"
"SODIUM","2023-12-15","C64809","1dfb5b1b-6763-44aa-b24d-0b2f58b6536b","Code_326","Code","http://www.cdisc.org"
"SYSBP","2023-12-15","C25298","13d0faf9-9632-4b90-b759-9f151554b665","Code_327","Code","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","C77140","d917bd8d-c0c8-4aea-bbeb-a99ca749db40","Code_328","Code","http://www.cdisc.org"
"Unit of Pressure","2023-12-15","C49669","33d7a15b-101b-4a5b-8910-068f3d349b34","Code_329","Code","http://www.cdisc.org"
"Sitting","2023-12-15","C62122","7fcfec77-4120-48c9-96c2-94cec52a150c","Code_330","Code","http://www.cdisc.org"
"Standing","2023-12-15","C62166","d02a764a-3714-4478-bf10-5774fb2187bf","Code_331","Code","http://www.cdisc.org"
"Supine Position","2023-12-15","C62167","0410729d-94ea-4749-93ad-ac59e6b30a5c","Code_332","Code","http://www.cdisc.org"
"Body Position","2023-12-15","C62164","df28077f-5bf8-458d-888a-60756c58d6ef","Code_333","Code","http://www.cdisc.org"
"Brachial Artery","2023-12-15","C12681","ff2a55ff-5ae6-40bb-8a7c-9878fde83195","Code_334","Code","http://www.cdisc.org"
"Common Carotid Artery","2023-12-15","C12687","600543c9-6dad-4c6c-8129-903050817554","Code_335","Code","http://www.cdisc.org"
"Dorsalis Pedis Artery","2023-12-15","C32478","09e0abc6-2e0d-4db7-a561-a56a8b476c82","Code_336","Code","http://www.cdisc.org"
"Femoral Artery","2023-12-15","C12715","045e0e54-28ac-485f-903b-8bea6925e069","Code_337","Code","http://www.cdisc.org"
"Radial Artery","2023-12-15","C12838","1ea331ee-97d0-498f-9678-1b4f8ca7dc11","Code_338","Code","http://www.cdisc.org"
"Anatomic Site","2023-12-15","C13717","a2a8a14c-a388-4068-a2a2-b1ff97a0dce5","Code_339","Code","http://www.cdisc.org"
"Left","2023-12-15","C25229","5f135a4e-d37d-4145-975a-a275f869c80a","Code_340","Code","http://www.cdisc.org"
"Right","2023-12-15","C25228","cac10291-c5b6-4dc5-a290-928eb2e0d800","Code_341","Code","http://www.cdisc.org"
"Laterality","2023-12-15","C25185","9e26c57e-bc1a-4ca8-be03-04484f3fd1e7","Code_342","Code","http://www.cdisc.org"
"SYSBP","2023-12-15","C25298","cdafc7cf-f7bc-4bd5-943d-90a12db8b32e","Code_343","Code","http://www.cdisc.org"
"DIABP","2023-12-15","C25299","86ceb064-87a4-40ea-92fb-55a7d36ccd21","Code_344","Code","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","C77140","0793fb3e-6b08-4770-910f-fd398d84ff89","Code_345","Code","http://www.cdisc.org"
"Unit of Pressure","2023-12-15","C49669","88f57358-eb43-4fbe-b690-6dbe8a9dc83e","Code_346","Code","http://www.cdisc.org"
"Sitting","2023-12-15","C62122","03b748f6-1a4f-416e-b96d-88999f6758cd","Code_347","Code","http://www.cdisc.org"
"Standing","2023-12-15","C62166","d97443a7-54ba-4395-a9cc-291e4195de78","Code_348","Code","http://www.cdisc.org"
"Supine Position","2023-12-15","C62167","3d8b9969-54c2-4234-b293-ac7e4fa8b4c5","Code_349","Code","http://www.cdisc.org"
"Body Position","2023-12-15","C62164","f22ee48c-d760-4ec7-ab91-0f90d2a8c368","Code_350","Code","http://www.cdisc.org"
"Brachial Artery","2023-12-15","C12681","71655e7c-ebee-497c-9e0d-bdad9ad4bfbe","Code_351","Code","http://www.cdisc.org"
"Common Carotid Artery","2023-12-15","C12687","1072f68f-2601-49f1-b4b9-23f90bcd81f6","Code_352","Code","http://www.cdisc.org"
"Dorsalis Pedis Artery","2023-12-15","C32478","83d08e84-fc33-4e1c-bfa3-77ec27b8010a","Code_353","Code","http://www.cdisc.org"
"Femoral Artery","2023-12-15","C12715","5db641a0-f693-485a-92af-8dd41ae3777d","Code_354","Code","http://www.cdisc.org"
"Radial Artery","2023-12-15","C12838","dfb8dc6f-a552-461e-a474-3568b8fa4dbd","Code_355","Code","http://www.cdisc.org"
"Anatomic Site","2023-12-15","C13717","d9010845-8c10-4fff-a365-8919c24efbce","Code_356","Code","http://www.cdisc.org"
"Left","2023-12-15","C25229","a15fdfc2-1e33-470d-9e47-7686ca0937eb","Code_357","Code","http://www.cdisc.org"
"Right","2023-12-15","C25228","87d592bd-4c86-43fd-bc9f-ed913d061358","Code_358","Code","http://www.cdisc.org"
"Laterality","2023-12-15","C25185","f056bde5-f9a7-45a1-8437-2bd964589c68","Code_359","Code","http://www.cdisc.org"
"DIABP","2023-12-15","C25299","38f6b65e-92b3-419c-8024-056ebd85dced","Code_360","Code","http://www.cdisc.org"
"HR","2023-12-15","C49677","3cea9123-385e-45fe-a02c-a3d932486a54","Code_361","Code","http://www.cdisc.org"
"Clinical Test Result","2023-12-15","C77140","26834b11-65dd-4aa6-b611-cf26ab0eb9ef","Code_362","Code","http://www.cdisc.org"
"Count per Minute","2023-12-15","C73688","513a1f82-5f4f-45c5-a13a-456c2a3e4a5f","Code_363","Code","http://www.cdisc.org"
"Sitting","2023-12-15","C62122","6a5f13ed-088b-4b7f-af15-001ca1edae18","Code_364","Code","http://www.cdisc.org"
"Standing","2023-12-15","C62166","4ca9a53b-c410-4676-8494-665f0faa73db","Code_365","Code","http://www.cdisc.org"
"Supine Position","2023-12-15","C62167","0ab1d6a6-67d6-4edb-a949-a2d3b79f838b","Code_366","Code","http://www.cdisc.org"
"Body Position","2023-12-15","C62164","a5d6733f-17e9-4322-ba8f-dbeefc2460b1","Code_367","Code","http://www.cdisc.org"
"Brachial Artery","2023-12-15","C12681","6f28682e-af83-4504-8825-7888d29495da","Code_368","Code","http://www.cdisc.org"
"Common Carotid Artery","2023-12-15","C12687","9e5573eb-bbbd-47c6-aec8-d07dfb1a8dc5","Code_369","Code","http://www.cdisc.org"
"Dorsalis Pedis Artery","2023-12-15","C32478","77989877-33e5-4e42-8f9f-1dac23cabe55","Code_370","Code","http://www.cdisc.org"
"Femoral Artery","2023-12-15","C12715","973e4364-4e08-45c7-82da-37c0dc103ee8","Code_371","Code","http://www.cdisc.org"
"Radial Artery","2023-12-15","C12838","f858026e-dc94-47e9-ac3f-3bce82d0c84b","Code_372","Code","http://www.cdisc.org"
"Anatomic Site","2023-12-15","C13717","7bd04369-38ce-4471-96c6-820438856fcb","Code_373","Code","http://www.cdisc.org"
"Left","2023-12-15","C25229","49b54e42-6815-41d1-a32f-a42af313093b","Code_374","Code","http://www.cdisc.org"
"Right","2023-12-15","C25228","e594573f-e767-41c9-ba59-7b2847e0db41","Code_375","Code","http://www.cdisc.org"
"Laterality","2023-12-15","C25185","01bba125-c260-4806-8d5f-062424c16919","Code_376","Code","http://www.cdisc.org"
"HR","2023-12-15","C49677","a2b0b734-12e7-4e36-bd2a-c368a2d07ddb","Code_377","Code","http://www.cdisc.org"
"SYSBP","2023-12-15","C25298","65e81ad3-408c-423e-a871-f79dea30477c","Code_378","Code","http://www.cdisc.org"
