"codeSystemVersion","id","decode","code","uuid:ID","codeSystem"
"","Code_240","Vital Signs Position","C83114","e1a23838-acfd-4199-a04c-7a3738cab495","NCI Thesaurus"
"","Code_233","Diastolic Blood Pressure","C25299","3c0bc8a7-d44d-481a-b1c8-0c3633306cc0","NCI Thesaurus"
"2023-09-29","Code_104","Placebo Comparator Arm","C174268","dca0f065-32a4-4a5d-a163-d95118b08e9f","http://www.cdisc.org"
"2023-09-29","Code_105","Data Generated Within Study","C188866","8019c02e-46a0-4584-8940-4ca0136309b7","http://www.cdisc.org"
"2023-09-29","Code_106","Active Comparator Arm","C174267","2716aacc-3619-4f32-ae33-2d07ddea708c","http://www.cdisc.org"
"2023-09-29","Code_107","Data Generated Within Study","C188866","0d26a46e-5883-4f81-ba8c-d2179f127364","http://www.cdisc.org"
"2023-09-29","Code_108","Active Comparator Arm","C174267","4213e300-1dd9-489c-a076-c192ac6f2737","http://www.cdisc.org"
"2023-09-29","Code_109","Data Generated Within Study","C188866","1459d651-b8aa-45de-86aa-a194b3ca6d3f","http://www.cdisc.org"
"2023-09-29","Code_117","Double Blind Study","C15228","e2c36c92-0291-4160-ab37-e4044c10a837","http://www.cdisc.org"
"2023-09-29","Code_110","Trial Screening","C48262","76ab9b45-7b44-4dd7-9ed4-d511fd46b207","http://www.cdisc.org"
"2023-09-29","Code_111","Treatment Epoch","C101526","7ac8e9dd-e0a0-4b26-a4da-109dfe31da3d","http://www.cdisc.org"
"2023-09-29","Code_112","Treatment Epoch","C101526","d22149dd-3c8d-4478-8c0e-53735e09819a","http://www.cdisc.org"
"2023-09-29","Code_113","Treatment Epoch","C101526","c48c317d-9161-4ab8-8f56-b0373a8e7364","http://www.cdisc.org"
"2023-09-29","Code_114","Clinical Study Follow-up","C99158","1c4600ba-6d6c-4b5e-a5dc-d554bfe1a0fa","http://www.cdisc.org"
"1","Code_294","Alzheimer's disease; unspecified","G30.9","81fe7cbc-bd24-4246-a6a6-c7012732537c","ICD-10-CM"
"January 31, 2018","Code_295","Alzheimer's disease","26929004","c4ad39b0-55a2-491b-b3b3-399311f7404b","SNOMED"
"2023-09-29","Code_298","Trial Primary Objective","C85826","2b38119b-61cc-4bfe-bd48-7a0f35865452","http://www.cdisc.org"
"2023-09-29","Code_297","Primary Endpoint","C94496","6e612fa5-ac23-4961-aff2-d895e6f9ba81","http://www.cdisc.org"
"2023-09-29","Code_299","Primary Endpoint","C94496","3f7d8da8-47e1-4022-b990-6c7150b54df1","http://www.cdisc.org"
"2023-09-29","Code_301","Trial Primary Objective","C85826","aeb826d6-1214-49e1-80f0-be61604bc60d","http://www.cdisc.org"
"2023-09-29","Code_300","Primary Endpoint","C94496","22b145f8-945d-4029-98b6-5204b498d9c3","http://www.cdisc.org"
"2023-09-29","Code_302","Primary Endpoint","C94496","5f3ebf3e-0532-4890-ba58-0a39fb0dc824","http://www.cdisc.org"
"2023-09-29","Code_303","Primary Endpoint","C94496","e3c92e8e-b8de-4305-b00f-cbbfb2634503","http://www.cdisc.org"
"2023-09-29","Code_305","Trial Secondary Objective","C85827","32d25c7f-37c5-464d-9820-01b64efebfbc","http://www.cdisc.org"
"2023-09-29","Code_304","Secondary Endpoint","C139173","f1922832-6eaf-439e-be4d-cfe294a54613","http://www.cdisc.org"
"2023-09-29","Code_306","Secondary Endpoint","C139173","b110056e-33cf-4cad-957e-e13d6c807522","http://www.cdisc.org"
"2023-09-29","Code_307","Secondary Endpoint","C139173","65aa3c14-85b9-434d-9126-bf25474e37b0","http://www.cdisc.org"
"2023-09-29","Code_296","Both","C49636","49ebec55-c9e5-432c-8609-3384904fbc5a","http://www.cdisc.org"
"2023-09-29","Code_10","Before","C201264","8ba28b41-c5c3-4529-933d-1dd1d675ab61","http://www.cdisc.org"
"2023-09-29","Code_11","Start to Start","C201265","ff93e37c-3a4a-4c29-949a-30959d60e159","http://www.cdisc.org"
"2023-09-29","Code_12","Before","C201264","45f2ef13-d623-4a7c-9c7b-7c55e233f29c","http://www.cdisc.org"
"2023-09-29","Code_13","Start to Start","C201265","12bc99c0-d627-4169-a975-f9219b335ac2","http://www.cdisc.org"
"2023-09-29","Code_14","Fixed Reference","C201264","8287cbfe-d7d0-45c1-8126-768123978c3d","http://www.cdisc.org"
"2023-09-29","Code_15","Start to Start","C201265","d27e65a7-40ce-43ad-9fd0-7416e6a63373","http://www.cdisc.org"
"2023-09-29","Code_16","After","C201264","4753fc00-5d68-4466-b601-ef765f82a990","http://www.cdisc.org"
"2023-09-29","Code_17","Start to Start","C201265","0b06b672-953b-43f9-a64c-45dd958835d5","http://www.cdisc.org"
"2023-09-29","Code_18","After","C201264","9ae27725-77aa-480d-92d9-5ad827630932","http://www.cdisc.org"
"2023-09-29","Code_19","Start to Start","C201265","699a0c8f-519b-43d1-8430-5e12468bb205","http://www.cdisc.org"
"2023-09-29","Code_20","After","C201264","f9a00ec2-2c34-4191-b3ed-246ff53308d4","http://www.cdisc.org"
"2023-09-29","Code_21","Start to Start","C201265","79d1c977-08ae-40fb-a392-f1c34143dc96","http://www.cdisc.org"
"2023-09-29","Code_22","After","C201264","28db8c96-d5c7-4a5b-8a9c-af5b9d75908c","http://www.cdisc.org"
"2023-09-29","Code_23","Start to Start","C201265","290c4d4e-e593-473d-8274-0616f4c0494a","http://www.cdisc.org"
"2023-09-29","Code_24","After","C201264","c3958ba3-b0af-4464-869b-e7f89dbfee8c","http://www.cdisc.org"
"2023-09-29","Code_25","Start to Start","C201265","00c9d687-5868-4dc6-bd43-d3d129b08209","http://www.cdisc.org"
"2023-09-29","Code_26","After","C201264","19df3213-ef90-4080-9021-42d3901e843f","http://www.cdisc.org"
"2023-09-29","Code_27","Start to Start","C201265","c51aa6a9-7eab-492b-b32a-3622464ae7e3","http://www.cdisc.org"
"2023-09-29","Code_28","After","C201264","992767bc-2cb6-4267-adb7-5d0e0cc55cc1","http://www.cdisc.org"
"2023-09-29","Code_29","Start to Start","C201265","c56fa08b-0db8-4029-b2c2-344ed0f293b3","http://www.cdisc.org"
"2023-09-29","Code_30","After","C201264","54683640-4284-46fd-899c-1b091a653733","http://www.cdisc.org"
"2023-09-29","Code_31","Start to Start","C201265","8d035fc6-9cf9-4a73-95ef-310d12f7383b","http://www.cdisc.org"
"2023-09-29","Code_32","After","C201264","7fe03c36-40f2-4043-bcf9-dde6368aeb7d","http://www.cdisc.org"
"2023-09-29","Code_33","Start to Start","C201265","f3f6de71-2d51-4c73-b847-4d765e4753f5","http://www.cdisc.org"
"2023-09-29","Code_34","After","C201264","4a9cfe2c-a903-48e9-90c6-823e22191098","http://www.cdisc.org"
"2023-09-29","Code_35","Start to Start","C201265","46b4b1a7-59d7-4f4e-8947-581ad17f9ed3","http://www.cdisc.org"
"2023-09-29","Code_36","After","C201264","5d62d23f-0b4a-4072-8a07-a5fc2fab04ea","http://www.cdisc.org"
"2023-09-29","Code_37","Start to Start","C201265","df391023-5789-4272-b9b6-8ed0cc3bf568","http://www.cdisc.org"
"2023-09-29","Code_38","After","C201264","3ad96c3e-2d5b-4bba-8baa-caf9ae103b42","http://www.cdisc.org"
"2023-09-29","Code_39","Start to Start","C201265","512f0ce3-e5e0-4db1-9e7e-1697820f7c9b","http://www.cdisc.org"
"2023-09-29","Code_40","After","C201264","8b066264-d892-4ee3-9b35-686a84b276aa","http://www.cdisc.org"
"2023-09-29","Code_41","Start to Start","C201265","db16660b-a264-4651-a026-ffa2d702f468","http://www.cdisc.org"
"2023-09-29","Code_42","Fixed Reference","C201264","e6f9689b-e68a-4a30-843a-c263d5d18634","http://www.cdisc.org"
"2023-09-29","Code_43","Start to Start","C201265","860eddfc-cab9-470b-b1dd-39cfd1cb71a1","http://www.cdisc.org"
"2023-09-29","Code_44","Fixed Reference","C201264","e72e7f16-793b-40e2-aac0-04203880bfd9","http://www.cdisc.org"
"2023-09-29","Code_45","Start to Start","C201265","bd43de61-d9fb-4eb1-9c9d-1d2235682336","http://www.cdisc.org"
"2023-09-29","Code_46","Fixed Reference","C201264","bd53d5bb-31a1-4035-8dc2-c5f6f60634a7","http://www.cdisc.org"
"2023-09-29","Code_47","Start to Start","C201265","f7cb41c7-c246-4b4e-bece-6a3827920be5","http://www.cdisc.org"
"2023-09-29","Code_48","After","C201264","2e86bacb-243c-4e85-b2d7-8dac023f7eb8","http://www.cdisc.org"
"2023-09-29","Code_49","Start to Start","C201265","da064557-302d-4dfb-8aa5-1d8632d7b6d3","http://www.cdisc.org"
"2023-09-29","Code_50","After","C201264","135c1916-4ef4-4962-a22b-5fa8f594c0c7","http://www.cdisc.org"
"2023-09-29","Code_51","End to Start","C201265","6cfceecd-d2b8-40c3-803e-0781a8ddcc91","http://www.cdisc.org"
"2023-09-29","Code_52","After","C201264","a41e4915-5d0a-4237-9d2d-6de3622a7f0c","http://www.cdisc.org"
"2023-09-29","Code_53","End to Start","C201265","95b64928-2cd8-4ec2-ba01-79108552b4b8","http://www.cdisc.org"
"2023-09-29","Code_308","Inclusion Criteria","C25532","545cc007-7593-4c40-aa33-9232fc514c6b","http://www.cdisc.org"
"2023-09-29","Code_309","Inclusion Criteria","C25532","7e9c7aa4-d3f0-4d0e-a9b4-5307ee7e520a","http://www.cdisc.org"
"2023-09-29","Code_310","Inclusion Criteria","C25532","e2e3a2fc-0d61-4ac0-ad0a-b7e88a5f97d4","http://www.cdisc.org"
"2023-09-29","Code_311","Exclusion Criteria","C25370","0187f6ca-ea8e-49ce-9e0a-a44755329046","http://www.cdisc.org"
"2023-09-29","Code_4","Final","C25508","713b7ada-199c-42cb-b461-9e31f0beba92","http://www.cdisc.org"
"2023-09-29","Code_7","Protocol Effective Date","C99903x1","96021919-d931-48ca-9da2-b5feb923efdd","http://www.cdisc.org"
"2023-09-29","Code_9","Region","C41129","761cc2a5-dd14-401b-85b4-55d04ac03a90","http://www.cdisc.org"
"2020-08","Code_8","Europe","150","cd0795cb-9e98-4fc2-bd5b-fb4942cd31a1","ISO 3166 1 alpha3"
