"code","codeSystem","decode","instanceType","id","codeSystemVersion","uuid:ID"
"C173522","NCI Thesaurus","Vital Signs Result","Code","Code_246","","432803ba-e895-4fb5-a58b-840d8c718c92"
"C49673","http://www.cdisc.org","Beats per Minute","Code","Code_247","2023-09-29","9e032da5-802c-4e16-aab7-cac67d52e358"
"C73688","NCI Thesaurus","Count per Minute","Code","Code_248","","827c387b-0d41-4333-a6cd-2b7b52ef68e3"
"C83088","NCI Thesaurus","Vital Signs Location","Code","Code_249","","85d6e225-b4be-4cd6-8965-c560e5afb310"
"C123975","NCI Thesaurus","Vital Signs Laterality","Code","Code_250","","f78c78d0-a7da-4b65-aa63-75bc8d4dd1a9"
"C82535","NCI Thesaurus","Test Method","Code","Code_251","","e6b305d4-34b2-4d18-b692-fb865f7f1a88"
"C83114","NCI Thesaurus","Vital Signs Position","Code","Code_252","","40bfb372-8c6b-4f36-ad1c-b6248d90e9b8"
"C49677","NCI Thesaurus","Heart Rate","Code","Code_245","","7fc1625f-741f-47bc-a0c8-3791a688531d"
"C173522","NCI Thesaurus","Vital Signs Result","Code","Code_254","","5b06d7ef-b5cd-4709-8f3e-05b65996efbb"
"C42547","http://www.cdisc.org","Pascal","Code","Code_255","2023-09-29","0d091f07-6c3f-4677-b2d4-311c7975b3d6"
"C49669","NCI Thesaurus","Unit of Pressure","Code","Code_256","","b6b6b61e-c4c3-485e-89d9-e02ff6b0ae61"
"C83088","NCI Thesaurus","Vital Signs Location","Code","Code_257","","d720fde0-de6e-46e8-a08c-64f5be89c9a2"
"C123975","NCI Thesaurus","Vital Signs Laterality","Code","Code_258","","cc91e520-f6c3-4c08-8ab9-db5d39eefced"
"C82535","NCI Thesaurus","Test Method","Code","Code_259","","585c7b20-3183-4739-9160-2ad3ce8ad7f4"
"C83114","NCI Thesaurus","Vital Signs Position","Code","Code_260","","477d5863-ee1f-450c-9e57-13f1c5c29f28"
"C25298","NCI Thesaurus","Systolic Blood Pressure","Code","Code_253","","2be6a623-7ab5-4fbe-baf7-0db291246b6f"
"C173522","NCI Thesaurus","Vital Signs Result","Code","Code_262","","ac7e78af-dc63-4583-832a-eb86029bb90a"
"C42547","http://www.cdisc.org","Pascal","Code","Code_263","2023-09-29","a1758dac-ca6d-40fe-9955-9caef7b693c8"
"C49669","NCI Thesaurus","Unit of Pressure","Code","Code_264","","c9a187c6-73b2-420b-8ab5-4449455c2a22"
"C83088","NCI Thesaurus","Vital Signs Location","Code","Code_265","","80385eeb-e1ad-4952-88e2-cc648e4a378e"
"C123975","NCI Thesaurus","Vital Signs Laterality","Code","Code_266","","eb7cdbd9-42f6-4d03-8007-4a63d72a7edd"
"C82535","NCI Thesaurus","Test Method","Code","Code_267","","d217b101-9d89-4cb4-95e3-276070094f67"
"C83114","NCI Thesaurus","Vital Signs Position","Code","Code_268","","8ba5f492-e7ee-4f2f-9465-f70b5b612bd7"
"C25299","NCI Thesaurus","Diastolic Blood Pressure","Code","Code_261","","3f3ddefd-5882-40cd-bc44-0cbae6f5e563"
"C173522","NCI Thesaurus","Vital Signs Result","Code","Code_270","","ed9c3909-3226-4773-9d27-e134809cdb5e"
"C49673","http://www.cdisc.org","Beats per Minute","Code","Code_271","2023-09-29","42398ad5-f05e-42c3-8900-c8cb1b437277"
"C73688","NCI Thesaurus","Count per Minute","Code","Code_272","","00c83ff3-d065-4e68-a076-71475d7fa193"
"C83088","NCI Thesaurus","Vital Signs Location","Code","Code_273","","0c0aa877-5c4c-4a86-97a4-b625a18b2002"
"C123975","NCI Thesaurus","Vital Signs Laterality","Code","Code_274","","756217f8-ce42-4e3d-ba5e-c07fda103d5b"
"C82535","NCI Thesaurus","Test Method","Code","Code_275","","57048e01-e358-4bc4-82ec-a12fa4df056d"
"C83114","NCI Thesaurus","Vital Signs Position","Code","Code_276","","56a0bd64-2afe-4730-afcf-ba3b6f2355ac"
"C49677","NCI Thesaurus","Heart Rate","Code","Code_269","","8122e80e-5f26-4d13-a03c-acbd53a65efb"
"C174268","http://www.cdisc.org","Placebo Comparator Arm","Code","Code_122","2023-09-29","4d41940b-38cc-41e3-9c95-305265de0718"
"C188866","http://www.cdisc.org","Data Generated Within Study","Code","Code_123","2023-09-29","710ae629-9d53-475b-80d7-ec3ff7252629"
"C174267","http://www.cdisc.org","Active Comparator Arm","Code","Code_124","2023-09-29","481e09c6-4b73-4b5f-af66-283f251158ca"
"C188866","http://www.cdisc.org","Data Generated Within Study","Code","Code_125","2023-09-29","d6f7ea14-85bf-4e69-8872-335e757af83e"
"C174267","http://www.cdisc.org","Active Comparator Arm","Code","Code_126","2023-09-29","cdec8d54-75af-47ce-9cdc-4514c8ad9595"
"C188866","http://www.cdisc.org","Data Generated Within Study","Code","Code_127","2023-09-29","640f3163-160d-4dfa-b10f-54a3dc3c0326"
"C15228","http://www.cdisc.org","Double Blind Study","Code","Code_135","2023-09-29","1f0e818f-3254-49b0-ba54-9d9fe54819d1"
"C48262","http://www.cdisc.org","Trial Screening","Code","Code_128","2023-09-29","84867572-7189-4e9b-936a-56cab58e7dbd"
"C101526","http://www.cdisc.org","Treatment Epoch","Code","Code_129","2023-09-29","5b5cc22c-7086-4298-ab8b-9df46c513fb4"
"C101526","http://www.cdisc.org","Treatment Epoch","Code","Code_130","2023-09-29","1ec5e7eb-a2c1-4ef5-8e65-96f4adc9ecb5"
"C101526","http://www.cdisc.org","Treatment Epoch","Code","Code_131","2023-09-29","15d66167-966c-45c0-b039-f80af39c2825"
"C99158","http://www.cdisc.org","Clinical Study Follow-up","Code","Code_132","2023-09-29","aa9b0593-146b-4e8f-b482-a73bccd445c8"
"G30.9","ICD-10-CM","Alzheimer's disease; unspecified","Code","Code_330","1","9dfa85f0-f035-44ed-906c-0426c81b7ec8"
"26929004","SNOMED","Alzheimer's disease","Code","Code_331","January 31, 2018","063bd22e-b47d-4907-b7dc-d8830dfcea5e"
"C70793","http://www.cdisc.org","Sponsor","Code","Code_141","2023-09-29","6cdc839c-b9a3-4934-ab23-0864473e2fcc"
"C85826","http://www.cdisc.org","Trial Primary Objective","Code","Code_335","2023-09-29","bb12d064-3756-4ae4-8291-c0f8ce46649b"
"C94496","http://www.cdisc.org","Primary Endpoint","Code","Code_334","2023-09-29","67b0351c-b029-459d-aa8b-9ee3b589d8bc"
"C94496","http://www.cdisc.org","Primary Endpoint","Code","Code_336","2023-09-29","0a08f98d-bd88-4690-b2eb-60538753dda9"
"C85826","http://www.cdisc.org","Trial Primary Objective","Code","Code_338","2023-09-29","f2cf3cb1-da80-44d7-998d-e5cebf3c78ef"
"C94496","http://www.cdisc.org","Primary Endpoint","Code","Code_337","2023-09-29","1c8a4d9e-59f7-464d-9c19-c4c1c0ad42f1"
"C94496","http://www.cdisc.org","Primary Endpoint","Code","Code_339","2023-09-29","eb0b1664-003d-4ceb-850b-dcd0e0a47855"
"C94496","http://www.cdisc.org","Primary Endpoint","Code","Code_340","2023-09-29","21cfe3dc-2b42-4188-87b4-b47efdab8dcb"
"C85827","http://www.cdisc.org","Trial Secondary Objective","Code","Code_342","2023-09-29","1b3c41c6-c347-439f-8d29-2156c737582b"
"C139173","http://www.cdisc.org","Secondary Endpoint","Code","Code_341","2023-09-29","9c7fee45-ee15-4b05-8c1e-1ae34dc9090b"
"C139173","http://www.cdisc.org","Secondary Endpoint","Code","Code_343","2023-09-29","6654c38b-98cd-4df3-b121-2dccd2221f5a"
"C139173","http://www.cdisc.org","Secondary Endpoint","Code","Code_344","2023-09-29","e31ef630-3865-47b2-a86c-b18c47b64672"
"C25532","http://www.cdisc.org","Inclusion Criteria","Code","Code_345","2023-09-29","47894944-7fb8-4e77-99cb-e1ddc4f20193"
"C25532","http://www.cdisc.org","Inclusion Criteria","Code","Code_346","2023-09-29","f7092e8b-0347-47b0-9d44-3d3a312baef4"
"C25532","http://www.cdisc.org","Inclusion Criteria","Code","Code_347","2023-09-29","3d09d67d-5801-4dc9-9d62-444247ad70f0"
"C25370","http://www.cdisc.org","Exclusion Criteria","Code","Code_348","2023-09-29","83cf094b-78a8-4732-9298-4d3c7f2d886c"
"C29848","http://www.cdisc.org","Year","Code","Code_332","2023-09-29","491c2e01-0333-4bf4-8703-709b775931cd"
"C201264","http://www.cdisc.org","Before","Code","Code_14","2023-09-29","0989d4b9-6b7d-4831-87e9-9cbe3c61b7a8"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_15","2023-09-29","658cf846-03be-471a-b9bb-d8b8fc74434c"
"C201264","http://www.cdisc.org","Before","Code","Code_16","2023-09-29","b88ef515-c1cf-4c28-9b9b-8099e69126ba"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_17","2023-09-29","ff954d60-4558-4d89-a14d-e07775ee32f8"
"C201264","http://www.cdisc.org","Fixed Reference","Code","Code_19","2023-09-29","ca286a5e-8c61-46ae-9623-1ffee76b0abc"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_20","2023-09-29","e3f1e9c2-e441-46d0-b1e7-ec7e42fb7fee"
"C201264","http://www.cdisc.org","After","Code","Code_21","2023-09-29","8cbe035f-a55c-4b49-bba2-239458dd0783"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_22","2023-09-29","b258ac80-6cc1-4a16-95d5-84bbacf4cdbb"
"C201264","http://www.cdisc.org","After","Code","Code_24","2023-09-29","47803387-bcee-470f-96de-6d71b8ceda88"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_25","2023-09-29","2a61b9e1-21d0-4cd0-bf31-ba6ee7b489d5"
"C201264","http://www.cdisc.org","After","Code","Code_27","2023-09-29","0b308e1d-b031-49c2-a6da-b87615dabad3"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_28","2023-09-29","9c56ab78-c919-478e-a1b2-3113740ea56b"
"C201264","http://www.cdisc.org","After","Code","Code_30","2023-09-29","08f2ab93-d9b2-4dc5-b69a-b36ad3d070d0"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_31","2023-09-29","3292c815-2724-45bf-947e-7b3743801aa8"
"C201264","http://www.cdisc.org","After","Code","Code_35","2023-09-29","f01c632c-4b35-44d2-9730-aacbd6ad7170"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_36","2023-09-29","82b7d0b7-43c9-4dc4-8d00-0e69c3bb9c22"
"C201264","http://www.cdisc.org","After","Code","Code_40","2023-09-29","26239f20-0f22-46a1-9cb0-520e39aea1b0"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_41","2023-09-29","da2a3f05-7eee-4c1c-826a-5ca0b216cbba"
"C201264","http://www.cdisc.org","After","Code","Code_45","2023-09-29","67b6ac6c-4ea5-49c2-a9e5-3968e2515698"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_46","2023-09-29","a87c0633-3733-43b6-b2da-95d7c9b1a212"
"C201264","http://www.cdisc.org","After","Code","Code_50","2023-09-29","bcc7aecc-a77c-4458-8214-8f74fd079c33"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_51","2023-09-29","b7a3de39-ed7f-4ad6-8e75-c96a5ac39858"
"C201264","http://www.cdisc.org","After","Code","Code_53","2023-09-29","70bbd041-1a7b-4fd3-b4e8-5d62fa75e2a1"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_54","2023-09-29","8a65da91-1c68-4990-8f63-30d5387dfafa"
"C201264","http://www.cdisc.org","After","Code","Code_33","2023-09-29","b1667ab3-dd8a-4d79-8223-957738a35ed2"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_34","2023-09-29","c50e6a50-7d0c-4e4c-85ea-88d4b2bc307a"
"C201264","http://www.cdisc.org","After","Code","Code_38","2023-09-29","1d2d6fa9-48df-417c-8c0d-c7afe374f0d8"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_39","2023-09-29","3b20b76f-728d-41e6-86a7-95b483c09a8a"
"C201264","http://www.cdisc.org","After","Code","Code_43","2023-09-29","03597597-5f7e-4e86-8086-eb8878c68612"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_44","2023-09-29","322934d1-432b-4cc6-8545-bd4ff88b3bcd"
"C201264","http://www.cdisc.org","After","Code","Code_48","2023-09-29","b487b30d-3a5c-4a4a-b0c5-b7c4073b1780"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_49","2023-09-29","8aff4263-6d38-4d61-ad35-f7344106f9f7"
"C201264","http://www.cdisc.org","Fixed Reference","Code","Code_56","2023-09-29","29ec07f0-f584-4a41-b3e4-8c0eee21747f"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_57","2023-09-29","471e1ecb-bed7-46e2-907f-31308951f618"
"C201264","http://www.cdisc.org","Fixed Reference","Code","Code_58","2023-09-29","eb26fc79-cf82-43a3-93b1-8040805a9237"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_59","2023-09-29","728a4e22-48d9-4e92-859d-84e33c38d273"
"C201264","http://www.cdisc.org","Fixed Reference","Code","Code_60","2023-09-29","b48d6e8f-2382-4d0b-83a3-0368929be954"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_61","2023-09-29","517df912-f6b8-4cd0-b904-69c0ea105816"
"C201264","http://www.cdisc.org","After","Code","Code_62","2023-09-29","8b5d0870-2c90-432a-aa85-4efb9089bede"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_63","2023-09-29","b3972abf-6d57-4eac-84b4-bba2d18be6c4"
"C201264","http://www.cdisc.org","After","Code","Code_64","2023-09-29","eb63ee76-1cdd-4b3e-9828-248de030292b"
"C201265","http://www.cdisc.org","End to Start","Code","Code_65","2023-09-29","67a944ec-950b-4a63-8a24-5cedb285f421"
"C201264","http://www.cdisc.org","After","Code","Code_66","2023-09-29","7a5597b9-e29b-4f6a-a0df-c5cd56fe975d"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_67","2023-09-29","5286d7e1-8c92-4aa5-b6f9-069b3bb5020a"
"C201264","http://www.cdisc.org","After","Code","Code_68","2023-09-29","d4800eeb-f2b9-4146-9c3c-4b49849e2ea5"
"C201265","http://www.cdisc.org","End to Start","Code","Code_69","2023-09-29","1bab036e-4328-4bed-97a6-51cc31155d71"
"C201264","http://www.cdisc.org","After","Code","Code_70","2023-09-29","d69f9d4b-3d2f-486d-b7f3-56f07c1c230c"
"C201265","http://www.cdisc.org","Start to Start","Code","Code_71","2023-09-29","a47bbb79-770b-4324-9240-19928ed4bf03"
"C70793","http://www.cdisc.org","Clinical Study Sponsor","Code","Code_349","2023-09-29","903a0d5e-7ce5-4a31-a3eb-4c400789ead9"
"GBR","ISO 3166 1 alpha3","United Kingdom of Great Britain and Northern Ireland","Code","Code_350","2020-08","359078d7-36a6-49a2-9730-ad270ff69321"
"C94108","http://www.cdisc.org","Study Acronym","Code","Code_3","2023-09-29","1bf5bea4-fca8-4495-a0d2-4023463200ec"
"C99905x1","http://www.cdisc.org","Brief Study Title","Code","Code_5","2023-09-29","b81c8499-c4df-4c08-9997-f81fce264383"
"C99905x2","http://www.cdisc.org","Official Study Title","Code","Code_6","2023-09-29","29c05370-e0b5-4e29-a56c-a5b0854e325d"
"C99905x3","http://www.cdisc.org","Public Study Title","Code","Code_7","2023-09-29","30415c41-ce1f-47a5-98e6-312dec3b4df1"
"C25508","http://www.cdisc.org","Final","Code","Code_8","2023-09-29","ac3db5e7-4d34-4770-a800-b75bcdc157b8"
"C99903x1","http://www.cdisc.org","Protocol Effective Date","Code","Code_11","2023-09-29","4410eb7a-7a0d-403e-87a5-ff063a1dee30"
"C41129","http://www.cdisc.org","Region","Code","Code_13","2023-09-29","9f9b7dd9-ced6-4b28-b693-1163616de0c1"
"150","ISO 3166 1 alpha3","Europe","Code","Code_12","2020-08","5d910978-05e6-46e3-8bdb-02d8e00ee2ba"
