"decode","codeSystemVersion","id","code","codeSystem","uuid:ID"
"Test Method","","Code_239","C82535","NCI Thesaurus","2fd65bc7-5751-4451-bb0d-c737c97247fb"
"Vital Signs Position","","Code_240","C83114","NCI Thesaurus","e35fe7ad-1961-42e7-8c1a-9c4026cd5df8"
"Diastolic Blood Pressure","","Code_233","C25299","NCI Thesaurus","ad1bee8c-b276-4314-b2b9-ec8b389593e2"
"Placebo Comparator Arm","2023-09-29","Code_104","C174268","http://www.cdisc.org","8d4fa5d2-df0b-42ed-bd12-32e188a960a7"
"Data Generated Within Study","2023-09-29","Code_105","C188866","http://www.cdisc.org","c0f4a18c-1197-47a7-8135-fe444fe9040b"
"Active Comparator Arm","2023-09-29","Code_106","C174267","http://www.cdisc.org","202d29f6-6ad4-4e1c-aaeb-ce3a017f5178"
"Data Generated Within Study","2023-09-29","Code_107","C188866","http://www.cdisc.org","12f9ce54-65ea-4dcf-8d2d-7a490b7d186a"
"Active Comparator Arm","2023-09-29","Code_108","C174267","http://www.cdisc.org","5cb0e0fc-2ef7-4ca9-87c2-69c35a0bdc02"
"Data Generated Within Study","2023-09-29","Code_109","C188866","http://www.cdisc.org","5e86d307-fb4f-43be-b4a5-93672ba8123f"
"Double Blind Study","2023-09-29","Code_117","C15228","http://www.cdisc.org","d64cb051-a194-4a6d-8add-b96a390972d9"
"Trial Screening","2023-09-29","Code_110","C48262","http://www.cdisc.org","1085566d-7b5e-4806-98b7-5c3cb4cc68d3"
"Treatment Epoch","2023-09-29","Code_111","C101526","http://www.cdisc.org","3217b3a5-b23f-4fbd-97dd-7faec5b9cda4"
"Treatment Epoch","2023-09-29","Code_112","C101526","http://www.cdisc.org","93f2c3c4-8699-483d-a24c-12fe219f9b82"
"Treatment Epoch","2023-09-29","Code_113","C101526","http://www.cdisc.org","f1824140-8fa4-46ab-9d89-e3b911152657"
"Clinical Study Follow-up","2023-09-29","Code_114","C99158","http://www.cdisc.org","d0ce007f-971c-4013-819e-7e0e962bed3d"
"Alzheimer's disease; unspecified","1","Code_294","G30.9","ICD-10-CM","0b39c710-937d-43e4-971f-f6590d850c62"
"Alzheimer's disease","January 31, 2018","Code_295","26929004","SNOMED","5efd76a3-1f7a-485a-8dd3-06c53d891893"
"Trial Primary Objective","2023-09-29","Code_298","C85826","http://www.cdisc.org","edff3982-ce97-415a-b01d-eea82a7dd0f2"
"Primary Endpoint","2023-09-29","Code_297","C94496","http://www.cdisc.org","c749bf96-015c-4610-adef-ad1035c04d99"
"Primary Endpoint","2023-09-29","Code_299","C94496","http://www.cdisc.org","ddd5c2dd-dbea-4d29-add6-f158291ab61f"
"Trial Primary Objective","2023-09-29","Code_301","C85826","http://www.cdisc.org","5d47783a-e95b-4d57-9b2c-970be04fd865"
"Primary Endpoint","2023-09-29","Code_300","C94496","http://www.cdisc.org","20596139-dbdd-4b45-85ad-115977f3c389"
"Primary Endpoint","2023-09-29","Code_302","C94496","http://www.cdisc.org","315a58a0-d419-442f-b01b-caf5e20464e2"
"Primary Endpoint","2023-09-29","Code_303","C94496","http://www.cdisc.org","e6949269-569d-4ad8-ac1f-29ee0937aa5d"
"Trial Secondary Objective","2023-09-29","Code_305","C85827","http://www.cdisc.org","63dd159c-af2a-4161-a10f-67a9599a74fa"
"Secondary Endpoint","2023-09-29","Code_304","C139173","http://www.cdisc.org","b1fd34f1-fcc3-4507-809b-2439bbfbad5d"
"Secondary Endpoint","2023-09-29","Code_306","C139173","http://www.cdisc.org","3797b145-ecaa-461c-aaee-7ff067e231cf"
"Secondary Endpoint","2023-09-29","Code_307","C139173","http://www.cdisc.org","82e672c1-77d7-4c7e-ab2e-43a8b03a5655"
"Both","2023-09-29","Code_296","C49636","http://www.cdisc.org","8f7bb655-985d-4d9f-8074-0db0e08dd01a"
"Before","2023-09-29","Code_10","C201264","http://www.cdisc.org","3babbdf9-2f0e-4667-9956-7b8f8b68c928"
"Start to Start","2023-09-29","Code_11","C201265","http://www.cdisc.org","6379a6de-e02b-433b-aba0-f6ebf354491f"
"Before","2023-09-29","Code_12","C201264","http://www.cdisc.org","9c4db425-89db-4d3e-84a0-4d9c1b2bab1f"
"Start to Start","2023-09-29","Code_13","C201265","http://www.cdisc.org","87bae4b8-a2ec-4625-ae74-2ab29ce2bec7"
"Fixed Reference","2023-09-29","Code_14","C201264","http://www.cdisc.org","98488fbd-6f20-41a6-8b65-6277abf5aec9"
"Start to Start","2023-09-29","Code_15","C201265","http://www.cdisc.org","fce8c10f-3236-4816-99e0-a243e7cd67fb"
"After","2023-09-29","Code_16","C201264","http://www.cdisc.org","c94eb786-7d4d-47f8-bea1-d1e7e4d7b137"
"Start to Start","2023-09-29","Code_17","C201265","http://www.cdisc.org","29afc657-bdf4-4121-b035-03f46691abfb"
"After","2023-09-29","Code_18","C201264","http://www.cdisc.org","67f7e831-aadc-4a58-a069-1af3baa63bce"
"Start to Start","2023-09-29","Code_19","C201265","http://www.cdisc.org","11886880-f736-4034-bbac-02648390cadd"
"After","2023-09-29","Code_20","C201264","http://www.cdisc.org","20f1076e-6dcd-429f-b78f-21e69c6ffc2e"
"Start to Start","2023-09-29","Code_21","C201265","http://www.cdisc.org","b7300e94-b6ef-4008-a409-5c38d9778806"
"After","2023-09-29","Code_22","C201264","http://www.cdisc.org","8777d501-43ec-47ad-a6e9-13d5d28d8f14"
"Start to Start","2023-09-29","Code_23","C201265","http://www.cdisc.org","a62a514a-4138-4061-975f-b0e34b09cf3f"
"After","2023-09-29","Code_24","C201264","http://www.cdisc.org","d0705134-0fbf-4622-a6bb-eac7b284dc7c"
"Start to Start","2023-09-29","Code_25","C201265","http://www.cdisc.org","3d7f3786-c4cf-4a14-85b5-d22adb6fabde"
"After","2023-09-29","Code_26","C201264","http://www.cdisc.org","70de5a18-4c6b-4a08-b712-7be0b395495a"
"Start to Start","2023-09-29","Code_27","C201265","http://www.cdisc.org","7f872ee7-1b6f-4909-b800-bfe18665fd4f"
"After","2023-09-29","Code_28","C201264","http://www.cdisc.org","9c53b61f-cf34-47d8-a937-4487b4219ad0"
"Start to Start","2023-09-29","Code_29","C201265","http://www.cdisc.org","21dfbdbf-9972-4f52-a3a7-366d4b5e309c"
"After","2023-09-29","Code_30","C201264","http://www.cdisc.org","7bc15bc9-1a07-49e5-87f3-6a6eab784873"
"Start to Start","2023-09-29","Code_31","C201265","http://www.cdisc.org","0822e84c-37a1-4343-9cd0-67e79089a4ca"
"After","2023-09-29","Code_32","C201264","http://www.cdisc.org","5fa7c649-6108-48b0-b236-107bdd1870ba"
"Start to Start","2023-09-29","Code_33","C201265","http://www.cdisc.org","e19116a1-69b2-433d-9720-368c397a8204"
"After","2023-09-29","Code_34","C201264","http://www.cdisc.org","47298419-59e8-41f4-9f66-6335c7e4d979"
"Start to Start","2023-09-29","Code_35","C201265","http://www.cdisc.org","98e8d6da-3bc3-4f85-a477-1a4849bd7e1d"
"After","2023-09-29","Code_36","C201264","http://www.cdisc.org","c472afea-c2a2-404a-9c09-6b31bf2a6eed"
"Start to Start","2023-09-29","Code_37","C201265","http://www.cdisc.org","23cf63da-0b3a-4bdb-94ae-326bf3cdd085"
"After","2023-09-29","Code_38","C201264","http://www.cdisc.org","089f180a-2dc6-4378-afb4-1bb20ff85365"
"Start to Start","2023-09-29","Code_39","C201265","http://www.cdisc.org","5638fd4a-e328-48e8-9f2a-f2cb6b12113e"
"After","2023-09-29","Code_40","C201264","http://www.cdisc.org","30eeacd5-5bbd-4b0a-b35b-7eb0a05ce4d2"
"Start to Start","2023-09-29","Code_41","C201265","http://www.cdisc.org","44d77f2d-2800-43b3-ac70-4d6118aa3383"
"Fixed Reference","2023-09-29","Code_42","C201264","http://www.cdisc.org","0a9746e0-b6ef-41f9-8f2f-295b4e1973c4"
"Start to Start","2023-09-29","Code_43","C201265","http://www.cdisc.org","2661ef27-070c-457e-8230-0fe6211897b2"
"Fixed Reference","2023-09-29","Code_44","C201264","http://www.cdisc.org","0a055f9c-2ef6-4194-b7ac-ec3fa7e9dd05"
"Start to Start","2023-09-29","Code_45","C201265","http://www.cdisc.org","7c33301c-c3c7-447f-a2e1-66cde1a73eb0"
"Fixed Reference","2023-09-29","Code_46","C201264","http://www.cdisc.org","e22cba04-4123-42cb-957a-92903b43e281"
"Start to Start","2023-09-29","Code_47","C201265","http://www.cdisc.org","c5f74e24-8bf9-46cc-9a2c-6aa2c1314ed3"
"After","2023-09-29","Code_48","C201264","http://www.cdisc.org","d0ecc073-aef7-4a79-b3ca-374f8e085ec4"
"Start to Start","2023-09-29","Code_49","C201265","http://www.cdisc.org","db803137-a2cd-4a71-9322-8696a96403d0"
"After","2023-09-29","Code_50","C201264","http://www.cdisc.org","46fef389-1fb5-4598-8541-f035eae4f24c"
"End to Start","2023-09-29","Code_51","C201265","http://www.cdisc.org","97a579d6-6c00-4b81-a155-bef67cbce1b9"
"After","2023-09-29","Code_52","C201264","http://www.cdisc.org","9d258b6e-a465-448e-975c-1db0fd711a4c"
"End to Start","2023-09-29","Code_53","C201265","http://www.cdisc.org","e1ddd95b-22a3-4afc-aa71-9d60055e6018"
"Inclusion Criteria","2023-09-29","Code_308","C25532","http://www.cdisc.org","cd83eec8-f4b4-4510-a45b-f1b7906b2a28"
"Inclusion Criteria","2023-09-29","Code_309","C25532","http://www.cdisc.org","2c37214a-77a2-4078-8e3b-63e59758e73c"
"Inclusion Criteria","2023-09-29","Code_310","C25532","http://www.cdisc.org","b04d44d9-7581-42fa-ac53-3d210168fd7f"
"Exclusion Criteria","2023-09-29","Code_311","C25370","http://www.cdisc.org","5122ff74-e932-4154-9968-43c85e8ac9c0"
"Final","2023-09-29","Code_4","C25508","http://www.cdisc.org","7a596524-044f-4ec8-a544-f01319044d3d"
"Protocol Effective Date","2023-09-29","Code_7","C99903x1","http://www.cdisc.org","8c11f159-a20b-4821-92e7-dc5cd4199143"
"Region","2023-09-29","Code_9","C41129","http://www.cdisc.org","5a867bdc-daec-4051-8e35-a17a6dca6b21"
"Europe","2020-08","Code_8","150","ISO 3166 1 alpha3","7dc760d9-9746-4666-b7b5-a244999f19a4"
