"decode","id","codeSystemVersion","codeSystem","uuid:ID","instanceType","code"
"Beats per Minute","Code_247","2023-09-29","http://www.cdisc.org","5869ff5b-dad5-4fc1-8038-a19fd82e6bcc","Code","C49673"
"Count per Minute","Code_248","","NCI Thesaurus","80a4fb6d-3ab7-43e1-a54c-b13f902bd3aa","Code","C73688"
"Vital Signs Location","Code_249","","NCI Thesaurus","a0c6aa11-da61-47ff-b090-339fda101332","Code","C83088"
"Vital Signs Laterality","Code_250","","NCI Thesaurus","a94af7cf-e157-4af3-9c97-ecf73c6df739","Code","C123975"
"Test Method","Code_251","","NCI Thesaurus","1094d13e-c8d7-4889-afe4-c3c86dad7764","Code","C82535"
"Vital Signs Position","Code_252","","NCI Thesaurus","186335fa-b826-4652-a0f2-6a86709be98c","Code","C83114"
"Heart Rate","Code_245","","NCI Thesaurus","860649cb-118a-4203-b671-0d52134c7a53","Code","C49677"
"Vital Signs Result","Code_254","","NCI Thesaurus","d1dbbe05-2526-42bc-bf5c-d50251ed55a5","Code","C173522"
"Pascal","Code_255","2023-09-29","http://www.cdisc.org","e175179d-aa89-4859-8905-181d562e6b38","Code","C42547"
"Unit of Pressure","Code_256","","NCI Thesaurus","acbff074-385c-468f-a99e-3af6e18d51df","Code","C49669"
"Vital Signs Location","Code_257","","NCI Thesaurus","048340ab-da4b-47f9-b851-de986dfcf013","Code","C83088"
"Vital Signs Laterality","Code_258","","NCI Thesaurus","006bce85-86f9-46c3-8acc-871e108182c8","Code","C123975"
"Test Method","Code_259","","NCI Thesaurus","c3390b74-247a-4a71-abcd-3580eb58760f","Code","C82535"
"Vital Signs Position","Code_260","","NCI Thesaurus","1422993a-60a4-4b82-9277-763ecf09b553","Code","C83114"
"Systolic Blood Pressure","Code_253","","NCI Thesaurus","0a71f8c0-d5c0-42f4-9884-479939f4066f","Code","C25298"
"Vital Signs Result","Code_262","","NCI Thesaurus","0acd414d-c0ed-4083-a178-c2cb9531e559","Code","C173522"
"Pascal","Code_263","2023-09-29","http://www.cdisc.org","4c3eeb47-b240-402f-93ba-ac52bbcb1686","Code","C42547"
"Unit of Pressure","Code_264","","NCI Thesaurus","afb43988-3aec-4d24-b625-774f902b941f","Code","C49669"
"Vital Signs Location","Code_265","","NCI Thesaurus","2db662b9-6893-479f-8b69-4b81b1bc1810","Code","C83088"
"Vital Signs Laterality","Code_266","","NCI Thesaurus","2c91bc8f-ef16-41af-b7eb-a76ff51a4a24","Code","C123975"
"Test Method","Code_267","","NCI Thesaurus","c1b53a0d-f304-4fc6-b438-cea1589d0e12","Code","C82535"
"Vital Signs Position","Code_268","","NCI Thesaurus","859abb08-67c9-4597-a3ef-9930c52b33d0","Code","C83114"
"Diastolic Blood Pressure","Code_261","","NCI Thesaurus","9bfab29d-f239-40e0-bd62-f490e0a9e9d6","Code","C25299"
"Vital Signs Result","Code_270","","NCI Thesaurus","97501954-4fd9-4f8d-9baf-29df6823ce53","Code","C173522"
"Beats per Minute","Code_271","2023-09-29","http://www.cdisc.org","de58d465-1cfb-4499-bc0f-928098f4b8f2","Code","C49673"
"Count per Minute","Code_272","","NCI Thesaurus","f7b7ac64-f6ab-4c3d-9f30-a6a8107ea348","Code","C73688"
"Vital Signs Location","Code_273","","NCI Thesaurus","ba9ac1bc-04e9-461b-b9a4-f2ee48fb6444","Code","C83088"
"Vital Signs Laterality","Code_274","","NCI Thesaurus","40cf7d05-4d1b-4881-80f5-a2ddb5d57618","Code","C123975"
"Test Method","Code_275","","NCI Thesaurus","7a3408b7-61b5-4eef-b7b3-2e4326beefb4","Code","C82535"
"Vital Signs Position","Code_276","","NCI Thesaurus","924ee2a7-aef3-472e-8510-a97e2cf0b2ca","Code","C83114"
"Heart Rate","Code_269","","NCI Thesaurus","1445dfda-8788-4364-9666-ea09c37306da","Code","C49677"
"Placebo Comparator Arm","Code_122","2023-09-29","http://www.cdisc.org","03582aa2-3788-404f-befd-b1a290b4ad91","Code","C174268"
"Data Generated Within Study","Code_123","2023-09-29","http://www.cdisc.org","74f50005-196b-450b-9295-29108a835219","Code","C188866"
"Active Comparator Arm","Code_124","2023-09-29","http://www.cdisc.org","f3fb2704-17ab-4a94-838e-c51ca9d207d2","Code","C174267"
"Data Generated Within Study","Code_125","2023-09-29","http://www.cdisc.org","0050ef11-a1c8-4694-8b90-08403b13f4c1","Code","C188866"
"Active Comparator Arm","Code_126","2023-09-29","http://www.cdisc.org","cf606bc7-bc1e-41db-9374-5b7e24b888e2","Code","C174267"
"Data Generated Within Study","Code_127","2023-09-29","http://www.cdisc.org","991f2b8b-8bc6-4d87-a679-e786e5ba7ce6","Code","C188866"
"Double Blind Study","Code_135","2023-09-29","http://www.cdisc.org","902cff04-13a5-44c5-b1d6-7a629dfdd5b3","Code","C15228"
"Trial Screening","Code_128","2023-09-29","http://www.cdisc.org","e74fffef-8724-417a-b843-8127a4d96d51","Code","C48262"
"Treatment Epoch","Code_129","2023-09-29","http://www.cdisc.org","eb9cb2dc-ae9e-479f-b16b-b23bf9e07bf1","Code","C101526"
"Treatment Epoch","Code_130","2023-09-29","http://www.cdisc.org","0919b424-1ed3-4ec1-84c6-756112e065d2","Code","C101526"
"Treatment Epoch","Code_131","2023-09-29","http://www.cdisc.org","eeb4dc8e-b58b-40c6-bc26-a4dd9425d2f0","Code","C101526"
"Clinical Study Follow-up","Code_132","2023-09-29","http://www.cdisc.org","7c1101b6-f338-439d-93ba-7f8a22ad6bf2","Code","C99158"
"Alzheimer's disease; unspecified","Code_330","1","ICD-10-CM","6017ecf6-676a-4b75-ac79-464b9ed24597","Code","G30.9"
"Alzheimer's disease","Code_331","January 31, 2018","SNOMED","2cefba1c-5a1f-461c-a1a5-6d88e4c097e7","Code","26929004"
"Sponsor","Code_141","2023-09-29","http://www.cdisc.org","87878a03-93a1-4a46-a0a1-b308d57a394a","Code","C70793"
"Trial Primary Objective","Code_335","2023-09-29","http://www.cdisc.org","bb73ca72-3c06-4636-8d91-e19653d6fcae","Code","C85826"
"Primary Endpoint","Code_334","2023-09-29","http://www.cdisc.org","6f529872-0368-467a-a18e-f6f84293f590","Code","C94496"
"Primary Endpoint","Code_336","2023-09-29","http://www.cdisc.org","26fe6df0-085d-4215-8064-a79e33c74d8c","Code","C94496"
"Trial Primary Objective","Code_338","2023-09-29","http://www.cdisc.org","c081a711-90e3-4436-a245-be8fa9f16d71","Code","C85826"
"Primary Endpoint","Code_337","2023-09-29","http://www.cdisc.org","96f278c3-40f0-471e-8d48-fa24923bba0d","Code","C94496"
"Primary Endpoint","Code_339","2023-09-29","http://www.cdisc.org","4479a6fe-69ff-4df6-8b1b-4c9d64fad52d","Code","C94496"
"Primary Endpoint","Code_340","2023-09-29","http://www.cdisc.org","777ff5a7-8e52-4e5f-86a6-805d6accd999","Code","C94496"
"Trial Secondary Objective","Code_342","2023-09-29","http://www.cdisc.org","bea13403-c7f5-4f52-9ca6-f98973084338","Code","C85827"
"Secondary Endpoint","Code_341","2023-09-29","http://www.cdisc.org","f6033843-8166-4397-becd-4fec608f1087","Code","C139173"
"Secondary Endpoint","Code_343","2023-09-29","http://www.cdisc.org","7cfa6a41-3978-4eb2-8d76-e71aa5e4c0f2","Code","C139173"
"Secondary Endpoint","Code_344","2023-09-29","http://www.cdisc.org","8a035a3b-baac-4a13-9aa8-71e2f59b21a1","Code","C139173"
"Inclusion Criteria","Code_345","2023-09-29","http://www.cdisc.org","c9771beb-54c1-4845-aed3-ac96a42eb92c","Code","C25532"
"Inclusion Criteria","Code_346","2023-09-29","http://www.cdisc.org","4bc625bc-f91e-492a-80ca-9aeab297408c","Code","C25532"
"Inclusion Criteria","Code_347","2023-09-29","http://www.cdisc.org","da1c50d1-ec89-4238-98af-c52011532fd6","Code","C25532"
"Exclusion Criteria","Code_348","2023-09-29","http://www.cdisc.org","a2bd6e24-f7ec-4c8f-81be-b271af3efc21","Code","C25370"
"Year","Code_332","2023-09-29","http://www.cdisc.org","7612ab25-a048-46f6-be8e-fb31bfc19aef","Code","C29848"
"Before","Code_14","2023-09-29","http://www.cdisc.org","9311ace5-f329-4b60-97de-836123a85040","Code","C201264"
"Start to Start","Code_15","2023-09-29","http://www.cdisc.org","e4ae1205-010d-4367-931d-e05379afa02a","Code","C201265"
"Before","Code_16","2023-09-29","http://www.cdisc.org","96e8b5e6-a679-49b6-a647-f625aa9cd96d","Code","C201264"
"Start to Start","Code_17","2023-09-29","http://www.cdisc.org","9addd151-5eab-4757-b97c-b14c150e659c","Code","C201265"
"Fixed Reference","Code_19","2023-09-29","http://www.cdisc.org","97e6c360-08dd-4097-a3c0-ab1855d4d653","Code","C201264"
"Start to Start","Code_20","2023-09-29","http://www.cdisc.org","749880a3-d121-4fd5-ba86-b4c2806cb7fa","Code","C201265"
"After","Code_21","2023-09-29","http://www.cdisc.org","98d1d448-2229-4078-94d0-6f33e28ad440","Code","C201264"
"Start to Start","Code_22","2023-09-29","http://www.cdisc.org","d6a11cc3-744d-42b2-9f5a-6ac2afad68ba","Code","C201265"
"After","Code_24","2023-09-29","http://www.cdisc.org","bc00b645-036a-47bd-8cad-4b534fcfcfd1","Code","C201264"
"Start to Start","Code_25","2023-09-29","http://www.cdisc.org","ce132f44-b142-4ec9-ab4e-e844ad21d9e7","Code","C201265"
"After","Code_27","2023-09-29","http://www.cdisc.org","8d09011a-df0c-4dbc-b362-659242017243","Code","C201264"
"Start to Start","Code_28","2023-09-29","http://www.cdisc.org","5e3c128f-4ef6-4809-ba91-6ab277680067","Code","C201265"
"After","Code_30","2023-09-29","http://www.cdisc.org","2146066f-657b-4bb2-801e-97685d73c369","Code","C201264"
"Start to Start","Code_31","2023-09-29","http://www.cdisc.org","ff90806c-761e-4e29-ac12-2250d569a80c","Code","C201265"
"After","Code_35","2023-09-29","http://www.cdisc.org","4660ff72-8e34-4d23-86cd-530c63737fb3","Code","C201264"
"Start to Start","Code_36","2023-09-29","http://www.cdisc.org","25f67a62-da8b-44b3-ac07-2ba14772058b","Code","C201265"
"After","Code_40","2023-09-29","http://www.cdisc.org","db80f9ca-30b0-458e-a8e6-47fc38685422","Code","C201264"
"Start to Start","Code_41","2023-09-29","http://www.cdisc.org","2e1ec3f0-ce3d-4a0f-af3f-9b9386804272","Code","C201265"
"After","Code_45","2023-09-29","http://www.cdisc.org","8fb1b9bd-e383-40e7-ad0b-1fb5eb1a4e36","Code","C201264"
"Start to Start","Code_46","2023-09-29","http://www.cdisc.org","1cee1301-f23f-4cb2-9228-7b2683c1c144","Code","C201265"
"After","Code_50","2023-09-29","http://www.cdisc.org","3457dbf4-c85d-4d18-baff-442f3f60b74f","Code","C201264"
"Start to Start","Code_51","2023-09-29","http://www.cdisc.org","b1d915cb-e717-4957-a76d-ff9106ef46e0","Code","C201265"
"After","Code_53","2023-09-29","http://www.cdisc.org","f327ee19-f330-471b-968e-4ca4f4af5b86","Code","C201264"
"Start to Start","Code_54","2023-09-29","http://www.cdisc.org","ad191a4e-8727-4427-a387-539cbdfdf939","Code","C201265"
"After","Code_33","2023-09-29","http://www.cdisc.org","737f86b7-992d-4dda-bb6b-27a7405390cf","Code","C201264"
"Start to Start","Code_34","2023-09-29","http://www.cdisc.org","4eb85f6a-3047-4d8a-b3b3-5749f28c0212","Code","C201265"
"After","Code_38","2023-09-29","http://www.cdisc.org","4a1a8726-2bbe-418a-9350-de19e4a0c2d9","Code","C201264"
"Start to Start","Code_39","2023-09-29","http://www.cdisc.org","e5087daf-3ba0-4687-b4ad-a34ab61b76d0","Code","C201265"
"After","Code_43","2023-09-29","http://www.cdisc.org","910033d1-ecf8-4cb9-b95b-c201c83c5e9b","Code","C201264"
"Start to Start","Code_44","2023-09-29","http://www.cdisc.org","a212fef0-8f1b-4ca1-88c8-987992235898","Code","C201265"
"After","Code_48","2023-09-29","http://www.cdisc.org","038b0ba3-4afa-43bf-a1cb-dc8381a7372d","Code","C201264"
"Start to Start","Code_49","2023-09-29","http://www.cdisc.org","b246ffa5-36b8-4621-9dec-1ff2f0463090","Code","C201265"
"Fixed Reference","Code_56","2023-09-29","http://www.cdisc.org","a1d3a454-f447-468b-8b4f-93afb81585bc","Code","C201264"
"Start to Start","Code_57","2023-09-29","http://www.cdisc.org","c7418784-ee41-4af8-b706-746823562fbe","Code","C201265"
"Fixed Reference","Code_58","2023-09-29","http://www.cdisc.org","d0656895-6af3-4474-aa77-f3584f03e3cb","Code","C201264"
"Start to Start","Code_59","2023-09-29","http://www.cdisc.org","6b84269f-1aee-4e97-86d7-4912d5985e89","Code","C201265"
"Fixed Reference","Code_60","2023-09-29","http://www.cdisc.org","0e26a49b-b6b0-4bfe-ae56-1eadbd1c64a6","Code","C201264"
"Start to Start","Code_61","2023-09-29","http://www.cdisc.org","f36aec1f-2ee0-4c51-9ac1-f26fa89b2382","Code","C201265"
"After","Code_62","2023-09-29","http://www.cdisc.org","f79f95b1-53d0-4247-bde4-1a5e06b69982","Code","C201264"
"Start to Start","Code_63","2023-09-29","http://www.cdisc.org","f482a83e-3809-4ffe-af83-180f64702bdf","Code","C201265"
"After","Code_64","2023-09-29","http://www.cdisc.org","a88a4da7-10c4-4125-8240-2e284507a951","Code","C201264"
"End to Start","Code_65","2023-09-29","http://www.cdisc.org","9de7699a-72f0-4393-99bf-3ed6ea66ea18","Code","C201265"
"After","Code_66","2023-09-29","http://www.cdisc.org","cdeb2b85-ae0c-4ffb-abbe-70dc096c6280","Code","C201264"
"Start to Start","Code_67","2023-09-29","http://www.cdisc.org","a6155411-06fe-44d5-aaf8-06f2eedfe0b3","Code","C201265"
"After","Code_68","2023-09-29","http://www.cdisc.org","0b71bc6d-9f37-4af6-ad2a-2f1c156eea20","Code","C201264"
"End to Start","Code_69","2023-09-29","http://www.cdisc.org","e74c77f6-f2ca-47b7-a7f2-ca9963628371","Code","C201265"
"After","Code_70","2023-09-29","http://www.cdisc.org","6363e62a-2994-4ee4-9454-b0d47b167252","Code","C201264"
"Start to Start","Code_71","2023-09-29","http://www.cdisc.org","caebdc01-1e14-4c8d-9024-77409965f7e3","Code","C201265"
"Clinical Study Sponsor","Code_349","2023-09-29","http://www.cdisc.org","3bdd5495-2936-4911-86e7-1e01f9d44915","Code","C70793"
"United Kingdom of Great Britain and Northern Ireland","Code_350","2020-08","ISO 3166 1 alpha3","86d5af98-393f-48fe-beee-545d3dd9f5fe","Code","GBR"
"Study Acronym","Code_3","2023-09-29","http://www.cdisc.org","18959d21-fec6-40ce-a523-13597c1ba862","Code","C94108"
"Brief Study Title","Code_5","2023-09-29","http://www.cdisc.org","52806901-4a87-4e2d-a284-caec0d8599dc","Code","C99905x1"
"Official Study Title","Code_6","2023-09-29","http://www.cdisc.org","4a9719f1-f57f-43b2-8b60-c108868b2abb","Code","C99905x2"
"Public Study Title","Code_7","2023-09-29","http://www.cdisc.org","7613e9c3-4e56-4290-9f15-589b9b3bfe3c","Code","C99905x3"
"Final","Code_8","2023-09-29","http://www.cdisc.org","7b2eaab1-a1a8-4bd7-996f-290354beb6b5","Code","C25508"
"Protocol Effective Date","Code_11","2023-09-29","http://www.cdisc.org","1aa69758-3b75-4fa7-8b9e-6a85a00f5d90","Code","C99903x1"
"Region","Code_13","2023-09-29","http://www.cdisc.org","a0ec3f99-02f8-4ad1-91da-4a9a7ae8b87b","Code","C41129"
"Europe","Code_12","2020-08","ISO 3166 1 alpha3","1f9f66fc-658a-4472-8aa4-0ff6f148fb19","Code","150"
