"code","uuid:ID","id","codeSystemVersion","codeSystem","decode","instanceType"
"C73688","ea005b11-abff-407b-9095-b7d176586df0","Code_248","","NCI Thesaurus","Count per Minute","Code"
"C83088","7aebeb71-f66d-4d63-8e5d-9331162c854f","Code_249","","NCI Thesaurus","Vital Signs Location","Code"
"C123975","6b742d7c-4072-4f0e-80e7-044697e670d1","Code_250","","NCI Thesaurus","Vital Signs Laterality","Code"
"C82535","8c237237-3aca-4e46-b137-12f7d0895186","Code_251","","NCI Thesaurus","Test Method","Code"
"C83114","24b3d81e-89f1-420d-90c1-89ece2e17162","Code_252","","NCI Thesaurus","Vital Signs Position","Code"
"C49677","ed1100db-6c86-430e-99c8-5b5c916aa40c","Code_245","","NCI Thesaurus","Heart Rate","Code"
"C173522","c10c3eb8-6a82-4346-8850-00a6da06cc1b","Code_254","","NCI Thesaurus","Vital Signs Result","Code"
"C42547","cba3c932-989b-47ec-be6a-e696c4925a12","Code_255","2023-09-29","http://www.cdisc.org","Pascal","Code"
"C49669","6e7ea95a-0834-4f8f-aff4-515fb01386a8","Code_256","","NCI Thesaurus","Unit of Pressure","Code"
"C83088","0c357446-2c88-4694-b53e-cff8588a0394","Code_257","","NCI Thesaurus","Vital Signs Location","Code"
"C123975","1f3f1b47-4050-4321-834f-899b2e1ea1a6","Code_258","","NCI Thesaurus","Vital Signs Laterality","Code"
"C82535","af2ea19d-dac0-4841-9ee0-4f488e5f7e09","Code_259","","NCI Thesaurus","Test Method","Code"
"C83114","aba0fd90-fb59-4f23-b84e-e294f141a7fa","Code_260","","NCI Thesaurus","Vital Signs Position","Code"
"C25298","2f2dcf40-635d-4831-803b-fe295dcb8175","Code_253","","NCI Thesaurus","Systolic Blood Pressure","Code"
"C173522","6765e267-8918-4870-88f5-9febf485d3c1","Code_262","","NCI Thesaurus","Vital Signs Result","Code"
"C42547","f41b3437-e89a-4ef8-b5c3-f561802d5006","Code_263","2023-09-29","http://www.cdisc.org","Pascal","Code"
"C49669","264d0138-6697-445c-ae9a-3ddc4d142ff1","Code_264","","NCI Thesaurus","Unit of Pressure","Code"
"C83088","a2145cd9-027b-4910-b2e3-404d7154d90b","Code_265","","NCI Thesaurus","Vital Signs Location","Code"
"C123975","d49a601d-4243-44a7-ae8a-5b62339d34ef","Code_266","","NCI Thesaurus","Vital Signs Laterality","Code"
"C82535","bea2d9d6-e56f-4e63-9f05-98d3e3d330ea","Code_267","","NCI Thesaurus","Test Method","Code"
"C83114","abd91f40-d40b-4b1b-9843-388537527104","Code_268","","NCI Thesaurus","Vital Signs Position","Code"
"C25299","f34f6adb-de0e-4639-a9f0-6493320b2613","Code_261","","NCI Thesaurus","Diastolic Blood Pressure","Code"
"C173522","e53cc463-c6b0-42e6-a8b0-ebdf53833e7c","Code_270","","NCI Thesaurus","Vital Signs Result","Code"
"C49673","0dd6a3be-1e66-496f-818a-447e43929bdf","Code_271","2023-09-29","http://www.cdisc.org","Beats per Minute","Code"
"C73688","f47a6da0-4a4b-4c09-87b7-9c083e19c55b","Code_272","","NCI Thesaurus","Count per Minute","Code"
"C83088","fcb20a3e-62f0-452e-b83d-959962c408e3","Code_273","","NCI Thesaurus","Vital Signs Location","Code"
"C123975","36a60225-d6eb-4b40-80b4-d28534eac137","Code_274","","NCI Thesaurus","Vital Signs Laterality","Code"
"C82535","6db07cb6-630c-4818-9540-1b36b0e603eb","Code_275","","NCI Thesaurus","Test Method","Code"
"C83114","2f456e3a-487a-4d45-85a9-adf15f8ad429","Code_276","","NCI Thesaurus","Vital Signs Position","Code"
"C49677","b023ea11-6e86-41ef-b38d-2b9e0b7783fc","Code_269","","NCI Thesaurus","Heart Rate","Code"
"C174268","c57a3ac1-a85e-4f26-a8f1-ee248a332df4","Code_122","2023-09-29","http://www.cdisc.org","Placebo Comparator Arm","Code"
"C188866","d5068b07-9649-4216-8fda-8f675fc3f6ff","Code_123","2023-09-29","http://www.cdisc.org","Data Generated Within Study","Code"
"C174267","88ca8d4b-16d5-4f8f-8dda-23e7e7b76027","Code_124","2023-09-29","http://www.cdisc.org","Active Comparator Arm","Code"
"C188866","33baf2b8-370f-4c48-a8d1-cc6fcdd01231","Code_125","2023-09-29","http://www.cdisc.org","Data Generated Within Study","Code"
"C174267","9fcb48c4-bfd3-435e-99a8-ef1232ebdc38","Code_126","2023-09-29","http://www.cdisc.org","Active Comparator Arm","Code"
"C188866","36dbe858-0eb7-4eea-9180-cc0cda27155c","Code_127","2023-09-29","http://www.cdisc.org","Data Generated Within Study","Code"
"C15228","1f857917-05a8-4f19-8479-3eb235bdb3d9","Code_135","2023-09-29","http://www.cdisc.org","Double Blind Study","Code"
"C48262","2a75657d-36e9-498e-9ced-873069de88e7","Code_128","2023-09-29","http://www.cdisc.org","Trial Screening","Code"
"C101526","2b8122a2-eba5-4c89-9223-8bebffb432d6","Code_129","2023-09-29","http://www.cdisc.org","Treatment Epoch","Code"
"C101526","32c51d05-2c9c-4881-bce3-871b4b6f7c6e","Code_130","2023-09-29","http://www.cdisc.org","Treatment Epoch","Code"
"C101526","b7212518-1291-420d-a144-99be486ba39d","Code_131","2023-09-29","http://www.cdisc.org","Treatment Epoch","Code"
"C99158","5c8f8be1-329b-4638-9128-c152e1eddb14","Code_132","2023-09-29","http://www.cdisc.org","Clinical Study Follow-up","Code"
"G30.9","c50e0cb7-3b0b-4165-9d5f-715ea9b8953b","Code_330","1","ICD-10-CM","Alzheimer's disease; unspecified","Code"
"26929004","bd786a56-629c-40cd-9d29-c314a97e77f7","Code_331","January 31, 2018","SNOMED","Alzheimer's disease","Code"
"C70793","5ef90307-b3a0-42e1-a005-be5566c3ce47","Code_141","2023-09-29","http://www.cdisc.org","Sponsor","Code"
"C85826","41d5aae4-b401-44c1-b6a0-b85da248db33","Code_335","2023-09-29","http://www.cdisc.org","Trial Primary Objective","Code"
"C94496","1670cb06-6599-4e8d-930c-b59988fceefc","Code_334","2023-09-29","http://www.cdisc.org","Primary Endpoint","Code"
"C94496","eaa00aaf-cb39-451d-b40f-4d101ae9861b","Code_336","2023-09-29","http://www.cdisc.org","Primary Endpoint","Code"
"C85826","d412731a-d26c-4875-b5b1-330c7a3e214d","Code_338","2023-09-29","http://www.cdisc.org","Trial Primary Objective","Code"
"C94496","b40fcd7d-fdea-4c42-a9ae-fea5dad92000","Code_337","2023-09-29","http://www.cdisc.org","Primary Endpoint","Code"
"C94496","4069b5c8-fe65-4d07-99b3-107cc09516c9","Code_339","2023-09-29","http://www.cdisc.org","Primary Endpoint","Code"
"C94496","595cdd5d-2a0d-4425-9901-849e87d6515c","Code_340","2023-09-29","http://www.cdisc.org","Primary Endpoint","Code"
"C85827","56c57257-a691-475b-93f3-e74847f3cdd8","Code_342","2023-09-29","http://www.cdisc.org","Trial Secondary Objective","Code"
"C139173","2ee76772-8d43-4748-8df0-d57acda87126","Code_341","2023-09-29","http://www.cdisc.org","Secondary Endpoint","Code"
"C139173","908cb20b-98e2-4e3b-8e88-fce1e852a385","Code_343","2023-09-29","http://www.cdisc.org","Secondary Endpoint","Code"
"C139173","aa4ee93c-d6fc-435a-a89a-e7fea1f42924","Code_344","2023-09-29","http://www.cdisc.org","Secondary Endpoint","Code"
"C25532","0b0ccb0d-9c05-4f51-a997-15eb56e08b8e","Code_345","2023-09-29","http://www.cdisc.org","Inclusion Criteria","Code"
"C25532","a72d50f5-085f-4595-a30d-68683cc55dbb","Code_346","2023-09-29","http://www.cdisc.org","Inclusion Criteria","Code"
"C25532","d6805be2-365f-4800-ae83-e37cbdc24d16","Code_347","2023-09-29","http://www.cdisc.org","Inclusion Criteria","Code"
"C25370","d929217e-5ea4-4797-af10-78d6f4fa99a6","Code_348","2023-09-29","http://www.cdisc.org","Exclusion Criteria","Code"
"C29848","faf9750d-7261-4d16-a513-a56977544b66","Code_332","2023-09-29","http://www.cdisc.org","Year","Code"
"C201264","f8b6fb1b-dd13-49e5-b5bb-8b5523f721b7","Code_14","2023-09-29","http://www.cdisc.org","Before","Code"
"C201265","21662b34-d4bd-4205-8944-f72d5ba90292","Code_15","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","e5937e1e-3979-4e14-b58e-2dfaafaa3e8e","Code_16","2023-09-29","http://www.cdisc.org","Before","Code"
"C201265","2a47d126-7476-412c-81b1-3ee3144865d2","Code_17","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","ab545de6-3a8e-4671-be16-292611d39fc3","Code_19","2023-09-29","http://www.cdisc.org","Fixed Reference","Code"
"C201265","93298e09-9f20-4f04-b677-ff3da52ad693","Code_20","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","30a11d77-9a65-4652-8b11-8762688c638a","Code_21","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","5958f1ef-9f5a-493d-9f4a-d6cac409308c","Code_22","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","5d1c451c-d1dc-4a28-9953-84f17e039207","Code_24","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","0b03c2f1-fcfb-41b2-bf60-0550b6c33001","Code_25","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","65ca02ba-e2c1-47fd-be27-af018de94267","Code_27","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","6bff5a99-061a-4da4-b971-4c80719cb8d5","Code_28","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","383fdd72-afce-4772-8536-7fbb0fad2c43","Code_30","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","2b6b3c2a-dd79-45c6-9b45-02784d0a312b","Code_31","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","5d9b8238-f67f-4ce0-bd5e-3c49b9c0c890","Code_35","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","ed697f09-12cd-42a4-95a0-bfad2500a7f4","Code_36","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","aa7be398-a159-4a0b-b87f-20497010ed64","Code_40","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","566e71bb-8f41-4154-a0da-07898e2e4b52","Code_41","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","95655dac-6eba-482b-bc96-5294f0c076ff","Code_45","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","2859642a-2e28-4f21-947e-e8d3a7eba51c","Code_46","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","fcdef10d-13e9-478a-b359-d7974a667d47","Code_50","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","d898c552-29c6-484a-9130-3ca57e0d5962","Code_51","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","e0c6aeab-087e-47cf-8dc3-7c80f48cf4d1","Code_53","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","a703755c-8deb-4c10-9c1e-e8a98fe5c719","Code_54","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","cde54d66-cfb7-424b-a197-4dd8ac61c27d","Code_33","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","8b96f8cc-aec5-4166-9f5c-7ba8cc2d422e","Code_34","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","eb51aa4c-914f-4738-8cfd-5e4043455ec1","Code_38","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","8841dc8d-12a1-456a-b24c-f033c1811f7b","Code_39","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","7b2888b0-da89-4e5f-b774-146fd50a163f","Code_43","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","57d8d192-e6a6-42ce-9c2b-2f17cc8fad87","Code_44","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","787ce386-8fbc-4550-a0d7-e531195620b7","Code_48","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","eaa6ad0e-e70f-45f5-aa11-4998ed54c524","Code_49","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","4ab1109e-97d2-4695-b4a6-36e5d2aa095e","Code_56","2023-09-29","http://www.cdisc.org","Fixed Reference","Code"
"C201265","1fe3babf-eef0-498d-986c-da89d6b184c5","Code_57","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","2ff3963a-33a6-48a4-b872-13276ebd29f4","Code_58","2023-09-29","http://www.cdisc.org","Fixed Reference","Code"
"C201265","668119d7-a27b-40b5-8cfb-5af685fdfb43","Code_59","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","d14405ce-f0ef-4d2f-9347-3e16ed16bf01","Code_60","2023-09-29","http://www.cdisc.org","Fixed Reference","Code"
"C201265","89b5d7cb-037f-4b0a-a425-719a5b1c3820","Code_61","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","5ed90a7b-3042-40e1-8104-651d80617528","Code_62","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","b7473cbc-3f16-4846-af9a-5c73d13aa1fe","Code_63","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","9337bbc0-3eb2-467d-8e3e-595dc933b656","Code_64","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","dd4e0c7c-f447-4a24-8ae2-a0780f553896","Code_65","2023-09-29","http://www.cdisc.org","End to Start","Code"
"C201264","db74be1c-14e4-4a2a-baa7-434a241b4b8b","Code_66","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","d78c2454-4c45-4e24-93f9-8b74b3f7e173","Code_67","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C201264","e2c0d89e-4a95-4a65-a225-b60ac8aca819","Code_68","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","b3949ea2-8927-4e08-8501-cbce894235fb","Code_69","2023-09-29","http://www.cdisc.org","End to Start","Code"
"C201264","6b7aada3-b880-48cb-9302-86649ebc50a6","Code_70","2023-09-29","http://www.cdisc.org","After","Code"
"C201265","39080a88-d2af-4814-844c-ff0654902623","Code_71","2023-09-29","http://www.cdisc.org","Start to Start","Code"
"C70793","bcec4263-730e-4dc9-bf76-c8f802d4c4e1","Code_349","2023-09-29","http://www.cdisc.org","Clinical Study Sponsor","Code"
"GBR","827c3ec5-08d4-42ca-861d-95da113c72a5","Code_350","2020-08","ISO 3166 1 alpha3","United Kingdom of Great Britain and Northern Ireland","Code"
"C94108","ddc66326-9661-4155-8f8b-ac9f671f1095","Code_3","2023-09-29","http://www.cdisc.org","Study Acronym","Code"
"C99905x1","deb0cbbb-a687-4ee6-9d7b-aa6417384531","Code_5","2023-09-29","http://www.cdisc.org","Brief Study Title","Code"
"C99905x2","04c70b48-7677-4b4d-8468-687558dffe02","Code_6","2023-09-29","http://www.cdisc.org","Official Study Title","Code"
"C99905x3","9e05a9ef-7e05-4a36-ab61-e090196a65a9","Code_7","2023-09-29","http://www.cdisc.org","Public Study Title","Code"
"C25508","f484173c-c97c-4823-b0ea-362a5e9414bc","Code_8","2023-09-29","http://www.cdisc.org","Final","Code"
"C99903x1","8801b8e1-8add-4d8b-baab-53cb20a3855d","Code_11","2023-09-29","http://www.cdisc.org","Protocol Effective Date","Code"
"C41129","f5256d45-1095-4a35-abdf-568d2009d266","Code_13","2023-09-29","http://www.cdisc.org","Region","Code"
"150","59b5c259-1905-4de7-9f56-6d9ff621d330","Code_12","2020-08","ISO 3166 1 alpha3","Europe","Code"
