"decode","instanceType","code","id","codeSystemVersion","uuid:ID","codeSystem"
"Count per Minute","Code","C73688","Code_248","","b8d35db9-0220-42ef-83a3-67ac6a65dfa6","NCI Thesaurus"
"Vital Signs Location","Code","C83088","Code_249","","5214b38a-2d9d-42f9-8f21-f1706e4e5d42","NCI Thesaurus"
"Vital Signs Laterality","Code","C123975","Code_250","","bb809bb3-9338-4ec7-b9dc-91096ef73f55","NCI Thesaurus"
"Test Method","Code","C82535","Code_251","","d8b8daa5-abf6-412c-b99a-ad0906412816","NCI Thesaurus"
"Vital Signs Position","Code","C83114","Code_252","","5176ad21-b6b3-4813-8f31-67ddaba12c03","NCI Thesaurus"
"Heart Rate","Code","C49677","Code_245","","aeef47a0-634d-4722-9d7c-a95765fc5081","NCI Thesaurus"
"Vital Signs Result","Code","C173522","Code_254","","fff1077b-87d5-4715-a499-c8a797b09273","NCI Thesaurus"
"Pascal","Code","C42547","Code_255","2023-09-29","3d3c713f-1efc-4c2e-a0a7-37129c92945d","http://www.cdisc.org"
"Unit of Pressure","Code","C49669","Code_256","","d426d6de-0e3e-4aa0-8a90-df273627ddb6","NCI Thesaurus"
"Vital Signs Location","Code","C83088","Code_257","","1dc02e37-f102-4774-b966-94d943b58f00","NCI Thesaurus"
"Vital Signs Laterality","Code","C123975","Code_258","","10ea53a4-3c15-4ad5-8e62-a5dad71df499","NCI Thesaurus"
"Test Method","Code","C82535","Code_259","","8d9d7529-dc04-4576-99a5-06b222e82e8e","NCI Thesaurus"
"Vital Signs Position","Code","C83114","Code_260","","5e03078b-dc0c-403e-8a0a-6039ccdd9c25","NCI Thesaurus"
"Systolic Blood Pressure","Code","C25298","Code_253","","80baa6df-302d-42dc-a0e3-01261504950b","NCI Thesaurus"
"Vital Signs Result","Code","C173522","Code_262","","a04f276a-2ae3-450e-a19b-e2e01a37ead8","NCI Thesaurus"
"Pascal","Code","C42547","Code_263","2023-09-29","502aa319-a186-4a20-9b68-9034e72373fe","http://www.cdisc.org"
"Unit of Pressure","Code","C49669","Code_264","","fcdffaf7-8440-479a-8915-d82b763d51e2","NCI Thesaurus"
"Vital Signs Location","Code","C83088","Code_265","","bd347568-01cd-4d96-ba6c-4a00095774a4","NCI Thesaurus"
"Vital Signs Laterality","Code","C123975","Code_266","","71878087-0fac-4f79-9097-68d2999b51e3","NCI Thesaurus"
"Test Method","Code","C82535","Code_267","","cf033922-9e85-4697-919e-3502a658ec12","NCI Thesaurus"
"Vital Signs Position","Code","C83114","Code_268","","d6132ace-d9b7-4a26-9027-4b8dca95afc9","NCI Thesaurus"
"Diastolic Blood Pressure","Code","C25299","Code_261","","caa1ee4d-4fb8-4b12-a5fb-95c76e5879c1","NCI Thesaurus"
"Vital Signs Result","Code","C173522","Code_270","","5d51ca92-f8c3-4d24-adc2-6851ffb75ecd","NCI Thesaurus"
"Beats per Minute","Code","C49673","Code_271","2023-09-29","85ea1e87-0dee-4093-bef6-d168c88d4e2d","http://www.cdisc.org"
"Count per Minute","Code","C73688","Code_272","","bf36b53e-689e-4950-aeed-f18f863f0b71","NCI Thesaurus"
"Vital Signs Location","Code","C83088","Code_273","","cb9de7ff-2161-46ae-aa76-cef3e7e98581","NCI Thesaurus"
"Vital Signs Laterality","Code","C123975","Code_274","","ef3a411e-cd99-4e08-a639-ab77245d1c87","NCI Thesaurus"
"Test Method","Code","C82535","Code_275","","da7d971b-9f2d-4920-ab9a-bce44bddd563","NCI Thesaurus"
"Vital Signs Position","Code","C83114","Code_276","","92733dfe-0839-4826-9559-16ffa62ae359","NCI Thesaurus"
"Heart Rate","Code","C49677","Code_269","","ba0071c2-99a2-4376-8801-062f15f81c03","NCI Thesaurus"
"Placebo Comparator Arm","Code","C174268","Code_122","2023-09-29","c8825b2b-6f2c-4f8f-9c90-0b9ff0faa932","http://www.cdisc.org"
"Data Generated Within Study","Code","C188866","Code_123","2023-09-29","2334b70c-fcf0-4511-8621-16842a76cd63","http://www.cdisc.org"
"Active Comparator Arm","Code","C174267","Code_124","2023-09-29","e1e4c18d-e6bf-41a5-b5bc-84add6886c14","http://www.cdisc.org"
"Data Generated Within Study","Code","C188866","Code_125","2023-09-29","35eedeb8-2878-4628-bf84-1426ebcc6026","http://www.cdisc.org"
"Active Comparator Arm","Code","C174267","Code_126","2023-09-29","ebffe665-d983-4e6c-8ca5-b1ea513798e9","http://www.cdisc.org"
"Data Generated Within Study","Code","C188866","Code_127","2023-09-29","fdcbc5b5-1665-4bc6-9443-19b7a97724bb","http://www.cdisc.org"
"Double Blind Study","Code","C15228","Code_135","2023-09-29","9f876bb7-e007-411e-a915-733475aa458a","http://www.cdisc.org"
"Trial Screening","Code","C48262","Code_128","2023-09-29","c3e3b4b1-6cd9-4fc4-b264-693303899de8","http://www.cdisc.org"
"Treatment Epoch","Code","C101526","Code_129","2023-09-29","ecfcebad-387d-4a29-9604-52a8926d0aef","http://www.cdisc.org"
"Treatment Epoch","Code","C101526","Code_130","2023-09-29","299b0ce9-2fb3-446e-9938-cac66314a15c","http://www.cdisc.org"
"Treatment Epoch","Code","C101526","Code_131","2023-09-29","022ad672-bbc6-4a0f-ac97-4144d83334cd","http://www.cdisc.org"
"Clinical Study Follow-up","Code","C99158","Code_132","2023-09-29","775905f4-c6be-4513-aac7-c93e4f6e29c6","http://www.cdisc.org"
"Alzheimer's disease; unspecified","Code","G30.9","Code_330","1","0bfb7939-e3e7-4c16-b4f8-e8cb1382aa9b","ICD-10-CM"
"Alzheimer's disease","Code","26929004","Code_331","January 31, 2018","7f31b44d-8dd1-4aa1-8da4-52999511c923","SNOMED"
"Sponsor","Code","C70793","Code_141","2023-09-29","3c7113cb-2fc3-450c-a835-ce96428b3764","http://www.cdisc.org"
"Trial Primary Objective","Code","C85826","Code_335","2023-09-29","5b7982f0-42d4-48fa-9f96-6b4300449d39","http://www.cdisc.org"
"Primary Endpoint","Code","C94496","Code_334","2023-09-29","d9731459-1af8-4634-a8f6-84fcaaa800e7","http://www.cdisc.org"
"Primary Endpoint","Code","C94496","Code_336","2023-09-29","9b26d6b2-690e-4779-9d4f-ae991129df0e","http://www.cdisc.org"
"Trial Primary Objective","Code","C85826","Code_338","2023-09-29","778cad1a-09b7-49cb-9da2-ff76369c45a8","http://www.cdisc.org"
"Primary Endpoint","Code","C94496","Code_337","2023-09-29","0aedee4d-67e8-4529-8afd-abc05e8ec0c4","http://www.cdisc.org"
"Primary Endpoint","Code","C94496","Code_339","2023-09-29","3f63163a-5540-4e83-9db9-c6fa96787604","http://www.cdisc.org"
"Primary Endpoint","Code","C94496","Code_340","2023-09-29","c31ff64a-610e-4c10-8012-b0b88db5b42f","http://www.cdisc.org"
"Trial Secondary Objective","Code","C85827","Code_342","2023-09-29","16a95f48-e295-43d0-a170-6b6fd15490d9","http://www.cdisc.org"
"Secondary Endpoint","Code","C139173","Code_341","2023-09-29","22db5a34-8307-4846-a572-185c837e691e","http://www.cdisc.org"
"Secondary Endpoint","Code","C139173","Code_343","2023-09-29","5f163c94-ae57-435f-b5cc-07904815e17d","http://www.cdisc.org"
"Secondary Endpoint","Code","C139173","Code_344","2023-09-29","e6cb6047-bbea-492b-ab95-49c5055f5e93","http://www.cdisc.org"
"Inclusion Criteria","Code","C25532","Code_345","2023-09-29","ed26e7dc-ef65-46e6-86e6-c200fac393ac","http://www.cdisc.org"
"Inclusion Criteria","Code","C25532","Code_346","2023-09-29","8cf3e607-ff26-40be-bed2-fb1e23a436d5","http://www.cdisc.org"
"Inclusion Criteria","Code","C25532","Code_347","2023-09-29","2b9f64f2-093c-4382-bbc9-e08fc74e342e","http://www.cdisc.org"
"Exclusion Criteria","Code","C25370","Code_348","2023-09-29","64c11bbd-4515-4873-95e3-62e827d9c62a","http://www.cdisc.org"
"Year","Code","C29848","Code_332","2023-09-29","3de3b317-07fe-43f9-b1aa-87b8b9035e09","http://www.cdisc.org"
"Before","Code","C201264","Code_14","2023-09-29","d7712d05-0a87-480c-8300-c26eac445926","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_15","2023-09-29","7a655397-55b4-49c0-98b2-7f6fabe027fc","http://www.cdisc.org"
"Before","Code","C201264","Code_16","2023-09-29","85eddb27-d6fa-4ed3-92fa-10916c0c9cf8","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_17","2023-09-29","5a80181b-7371-4e80-a9d5-74ddd8de344b","http://www.cdisc.org"
"Fixed Reference","Code","C201264","Code_19","2023-09-29","6a7c8a66-d0e0-4429-b53d-766801532b9b","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_20","2023-09-29","b5c988fe-3088-4f32-b336-ae812f31c514","http://www.cdisc.org"
"After","Code","C201264","Code_21","2023-09-29","90b5d775-f4a5-4ce8-bf6a-86a0c2feedab","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_22","2023-09-29","6c382d5a-320d-4f5a-82bb-5f8470acd9ee","http://www.cdisc.org"
"After","Code","C201264","Code_24","2023-09-29","f0f84d17-6157-4adf-a632-f401987da9b1","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_25","2023-09-29","0af7a4a1-3139-4fef-b532-7cf1e3cf07be","http://www.cdisc.org"
"After","Code","C201264","Code_27","2023-09-29","df0a26e7-b6f1-4f1b-9694-94fae7a0cb41","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_28","2023-09-29","70e65c4c-2d36-4e61-ab24-b28d31099208","http://www.cdisc.org"
"After","Code","C201264","Code_30","2023-09-29","6059edf7-c5f1-4beb-9049-0882106cb0e4","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_31","2023-09-29","5826c16f-bb24-4e3b-8d53-f41164acd5af","http://www.cdisc.org"
"After","Code","C201264","Code_35","2023-09-29","51016b72-427f-41b0-bd37-30110f8a261d","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_36","2023-09-29","b84ffbe5-9668-4ff0-be60-8e1005fddc9f","http://www.cdisc.org"
"After","Code","C201264","Code_40","2023-09-29","fdb694c4-88b5-4406-897f-4f92991c220d","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_41","2023-09-29","bdfc18e3-685f-4693-aa1f-e450fa9344c7","http://www.cdisc.org"
"After","Code","C201264","Code_45","2023-09-29","a52fc511-bd88-432e-9b55-fe6c6cefa00f","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_46","2023-09-29","847c77d8-ddf6-4cab-b621-518038d322af","http://www.cdisc.org"
"After","Code","C201264","Code_50","2023-09-29","ba3b9dfc-fd6a-444a-967c-6caffe26dc80","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_51","2023-09-29","c4aa3f83-ff0d-4a65-9467-94256bbb8a9b","http://www.cdisc.org"
"After","Code","C201264","Code_53","2023-09-29","bfbefa9c-bf03-4f01-83dd-9fd0802710b6","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_54","2023-09-29","591acbff-0ede-4064-ba76-7fe11af86605","http://www.cdisc.org"
"After","Code","C201264","Code_33","2023-09-29","2645b89d-59ec-4b59-a0d1-1d6fed8dde9c","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_34","2023-09-29","35273f32-5d92-48d8-9066-d075ca0964ee","http://www.cdisc.org"
"After","Code","C201264","Code_38","2023-09-29","e3aae487-a217-4e17-a746-5e6bc18dd3de","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_39","2023-09-29","5d0562e1-3c57-4de9-b9d3-ddb7eae5b4f9","http://www.cdisc.org"
"After","Code","C201264","Code_43","2023-09-29","967d309a-8b7d-475e-bf33-313a8c0b59de","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_44","2023-09-29","431a890a-837a-475e-ad30-81f90ba58984","http://www.cdisc.org"
"After","Code","C201264","Code_48","2023-09-29","ce4d7064-05a9-451d-bf32-bcdd24f3255b","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_49","2023-09-29","f802bdda-a4dc-4c2d-8827-a859dddf0965","http://www.cdisc.org"
"Fixed Reference","Code","C201264","Code_56","2023-09-29","63fef8a0-b50d-4610-9dd1-9ccdfd6c1879","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_57","2023-09-29","20b69ade-5807-4675-9136-079a4f35ad53","http://www.cdisc.org"
"Fixed Reference","Code","C201264","Code_58","2023-09-29","c4fe1b24-d30a-4e86-af37-bc8e34dfe026","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_59","2023-09-29","fa7598e0-6b44-40f6-9935-8de0d5fa65f4","http://www.cdisc.org"
"Fixed Reference","Code","C201264","Code_60","2023-09-29","c7777325-5f71-45f2-863f-d3defead2e8a","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_61","2023-09-29","c555f052-d94a-4f6c-8f03-c371aa8e7912","http://www.cdisc.org"
"After","Code","C201264","Code_62","2023-09-29","4b9eb802-e4d6-4fe1-8d1e-2092dda99d4b","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_63","2023-09-29","68663c00-54ed-4431-855d-744a425e80cb","http://www.cdisc.org"
"After","Code","C201264","Code_64","2023-09-29","0089c3ea-d725-43f3-a2e7-2629cd08cc0d","http://www.cdisc.org"
"End to Start","Code","C201265","Code_65","2023-09-29","822c79c7-f5ff-490a-8d85-dd61a1905151","http://www.cdisc.org"
"After","Code","C201264","Code_66","2023-09-29","5810c333-e3df-4f9c-be2c-fb80f66301ae","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_67","2023-09-29","6faa1997-ff78-4381-a37a-9976870168a1","http://www.cdisc.org"
"After","Code","C201264","Code_68","2023-09-29","c0cdddb8-dfc2-4b5d-8afc-585c19863c3f","http://www.cdisc.org"
"End to Start","Code","C201265","Code_69","2023-09-29","de0714f9-86b9-4b32-a1fd-72bc95ec9d73","http://www.cdisc.org"
"After","Code","C201264","Code_70","2023-09-29","539b3963-d6ab-4bcc-b92e-9e1d1734f88c","http://www.cdisc.org"
"Start to Start","Code","C201265","Code_71","2023-09-29","88263d04-09e8-4a65-99fa-0dbefb9d5681","http://www.cdisc.org"
"Clinical Study Sponsor","Code","C70793","Code_349","2023-09-29","e363666b-0a0e-4476-b28d-6fbccd401812","http://www.cdisc.org"
"United Kingdom of Great Britain and Northern Ireland","Code","GBR","Code_350","2020-08","088c93f1-889c-410e-8a9f-fbe065e83b07","ISO 3166 1 alpha3"
"Study Acronym","Code","C94108","Code_3","2023-09-29","6ef5f98d-f00d-47bc-8ff2-e4ff536f7e1c","http://www.cdisc.org"
"Brief Study Title","Code","C99905x1","Code_5","2023-09-29","68bc697a-0cf6-446a-a1af-bb9cb07e95f0","http://www.cdisc.org"
"Official Study Title","Code","C99905x2","Code_6","2023-09-29","ef805b79-7bdf-41a4-befd-5ba07d3815bf","http://www.cdisc.org"
"Public Study Title","Code","C99905x3","Code_7","2023-09-29","4aa65881-463c-413a-aff1-f9b863fab494","http://www.cdisc.org"
"Final","Code","C25508","Code_8","2023-09-29","0a96d315-9f30-4984-ad75-6e0c27be6d57","http://www.cdisc.org"
"Protocol Effective Date","Code","C99903x1","Code_11","2023-09-29","c37109d2-fe75-46ec-aa61-06458767c17c","http://www.cdisc.org"
"Region","Code","C41129","Code_13","2023-09-29","08d1d987-05ca-4680-93cd-6df46e4d6e7b","http://www.cdisc.org"
"Europe","Code","150","Code_12","2020-08","000835d8-8f54-4491-b71a-37e94a5492df","ISO 3166 1 alpha3"
