"id:ID","code","decode","id","codeSystemVersion","codeSystem","uuid"
"224","C123975","Vital Signs Laterality","Code_232","","NCI Thesaurus","26b19ba2-9834-4455-8c92-79f63707c5db"
"225","C82535","Test Method","Code_233","","NCI Thesaurus","1d3bd919-8936-4203-813d-459a5165a83d"
"226","C83114","Vital Signs Position","Code_234","","NCI Thesaurus","10a51f6c-6e64-43af-893d-f863d9beaabf"
"227","C25298","Systolic Blood Pressure","Code_227","","NCI Thesaurus","840d5b69-1b32-44e1-94e3-997466308ffc"
"228","C173522","Vital Signs Result","Code_236","","NCI Thesaurus","9909b7a8-5d01-49bd-8c6b-86cb01b05408"
"229","C42547","Pascal","Code_237","2023-09-29","http://www.cdisc.org","f8226bf7-decd-4a7a-9a9c-08e96cffc827"
"230","C49669","Unit of Pressure","Code_238","","NCI Thesaurus","167b364a-fe03-4782-94a2-b11062021f87"
"231","C83088","Vital Signs Location","Code_239","","NCI Thesaurus","62028a52-0450-4b98-b3d1-47887ea40d02"
"232","C123975","Vital Signs Laterality","Code_240","","NCI Thesaurus","b3971d18-d4f0-4995-985a-bf6d3f93fedb"
"233","C82535","Test Method","Code_241","","NCI Thesaurus","40ab4b0b-9b78-41f7-9f74-426314819bff"
"234","C83114","Vital Signs Position","Code_242","","NCI Thesaurus","c96c33f0-95fa-489f-8b34-00e729c1ca94"
"235","C25299","Diastolic Blood Pressure","Code_235","","NCI Thesaurus","9bd47b97-a802-4e51-87b6-74ea4f178df5"
"236","C174268","Placebo Comparator Arm","Code_106","2023-09-29","http://www.cdisc.org","cf0a0170-8b1a-4c9c-a315-f7fefadeb10e"
"237","C188866","Data Generated Within Study","Code_107","2023-09-29","http://www.cdisc.org","19a5430c-e471-4c7a-91f8-a22a5d787ff9"
"238","C174267","Active Comparator Arm","Code_108","2023-09-29","http://www.cdisc.org","2e0c447a-4b76-40c5-a3f6-cd3ba12588ff"
"239","C188866","Data Generated Within Study","Code_109","2023-09-29","http://www.cdisc.org","301ee940-8d17-49d0-8de4-a7ec5bea8e4d"
"240","C174267","Active Comparator Arm","Code_110","2023-09-29","http://www.cdisc.org","e4f84f21-8904-45e2-8de1-5948dd57d3b2"
"241","C188866","Data Generated Within Study","Code_111","2023-09-29","http://www.cdisc.org","ef9b1869-8641-4dec-99de-9b68b604c7a0"
"242","C15228","Double Blind Study","Code_119","2023-09-29","http://www.cdisc.org","90eabbde-1663-4fb5-94f3-11e8fe10fb8c"
"243","C48262","Trial Screening","Code_112","2023-09-29","http://www.cdisc.org","1304cd1a-ccd4-4d01-a2a5-235b820faa56"
"244","C101526","Treatment Epoch","Code_113","2023-09-29","http://www.cdisc.org","fbd6af3e-e515-4092-a5cf-839b3afb5fcf"
"245","C101526","Treatment Epoch","Code_114","2023-09-29","http://www.cdisc.org","3696a3b3-5122-46cd-abfd-f7d4b4fad092"
"246","C101526","Treatment Epoch","Code_115","2023-09-29","http://www.cdisc.org","231c159a-c773-4fb1-a449-28df4e75e9b4"
"247","C99158","Clinical Study Follow-up","Code_116","2023-09-29","http://www.cdisc.org","d69f8f46-da57-46be-b96d-5dbddbd4ff20"
"248","G30.9","Alzheimer's disease; unspecified","Code_296","1","ICD-10-CM","bc11be04-7cc6-4c32-9126-2d503534def9"
"249","26929004","Alzheimer's disease","Code_297","January 31, 2018","SNOMED","08ce23b5-7ccf-49bb-a00e-dd6f7adbb27b"
"250","C85826","Trial Primary Objective","Code_300","2023-09-29","http://www.cdisc.org","af71363a-e495-4f65-8486-dc5eed818015"
"251","C94496","Primary Endpoint","Code_299","2023-09-29","http://www.cdisc.org","e8eb47c5-d047-47cd-bdc8-cfb4910bb378"
"252","C94496","Primary Endpoint","Code_301","2023-09-29","http://www.cdisc.org","2505ffcf-c65d-48e1-8959-06b488952921"
"253","C85826","Trial Primary Objective","Code_303","2023-09-29","http://www.cdisc.org","e368116b-0480-40c3-ae9c-de3f09b120a7"
"254","C94496","Primary Endpoint","Code_302","2023-09-29","http://www.cdisc.org","d427a513-402f-4596-9620-8c08e6212b39"
"255","C94496","Primary Endpoint","Code_304","2023-09-29","http://www.cdisc.org","83920d1e-e96d-4052-b385-fa44ca851cb8"
"256","C94496","Primary Endpoint","Code_305","2023-09-29","http://www.cdisc.org","0b748183-5c79-46bc-9b77-63708f3989a7"
"257","C85827","Trial Secondary Objective","Code_307","2023-09-29","http://www.cdisc.org","8b2d23dc-8e49-43a0-9413-a95817694c3d"
"258","C139173","Secondary Endpoint","Code_306","2023-09-29","http://www.cdisc.org","00f63285-8696-4c09-a65b-32539aefb9fa"
"259","C139173","Secondary Endpoint","Code_308","2023-09-29","http://www.cdisc.org","651d5b15-00e2-4659-8651-dbe202d97cd9"
"260","C139173","Secondary Endpoint","Code_309","2023-09-29","http://www.cdisc.org","6598d360-cd6e-46a2-b330-34740ea38952"
"261","C49636","Both","Code_298","2023-09-29","http://www.cdisc.org","aca44b09-4bf5-411f-98f5-b6dfafd693f1"
"262","C201264","Before","Code_10","2023-09-29","http://www.cdisc.org","069781e8-f58d-461b-93c1-c48724a39f6e"
"263","C201265","Start to Start","Code_11","2023-09-29","http://www.cdisc.org","c0ec8d69-f7ab-4aad-ad52-b3397f69b721"
"264","C201264","Before","Code_12","2023-09-29","http://www.cdisc.org","2e9acff2-693d-4040-8fd4-5beed539a5f4"
"265","C201265","Start to Start","Code_13","2023-09-29","http://www.cdisc.org","88f0a489-8feb-4edb-b979-36603f65155b"
"266","C201264","Fixed Reference","Code_14","2023-09-29","http://www.cdisc.org","3c2f68d9-5cb6-49e1-8ad1-1056a58e7d8a"
"267","C201265","Start to Start","Code_15","2023-09-29","http://www.cdisc.org","1ca8feab-66a2-431d-b1e5-40f19f29296e"
"268","C201264","After","Code_16","2023-09-29","http://www.cdisc.org","1ac5afaf-5e13-4c72-b332-5d96e4c9e33a"
"269","C201265","Start to Start","Code_17","2023-09-29","http://www.cdisc.org","b1af24a1-f65d-4944-ae4e-1a0630dbb464"
"270","C201264","After","Code_18","2023-09-29","http://www.cdisc.org","ca86e0dc-f627-4e10-9501-b9f7e9553531"
"271","C201265","Start to Start","Code_19","2023-09-29","http://www.cdisc.org","95e1a452-6eda-4aee-b9d6-8425a4f80f00"
"272","C201264","After","Code_20","2023-09-29","http://www.cdisc.org","7023efff-0dbf-4654-9dda-9a5b1e4d18f0"
"273","C201265","Start to Start","Code_21","2023-09-29","http://www.cdisc.org","c01da196-84a1-4020-8e07-fc19f224fa5a"
"274","C201264","After","Code_22","2023-09-29","http://www.cdisc.org","46081495-0b5a-4dcd-b0f1-7d9ec716ffcc"
"275","C201265","Start to Start","Code_23","2023-09-29","http://www.cdisc.org","cb45469e-c629-41bf-90bf-a68ca42bf204"
"276","C201264","After","Code_24","2023-09-29","http://www.cdisc.org","e7158bac-34a8-4029-804c-4c6d0267e845"
"277","C201265","Start to Start","Code_25","2023-09-29","http://www.cdisc.org","9db2a17a-3c77-4b07-a586-09f68db41bb8"
"278","C201264","After","Code_26","2023-09-29","http://www.cdisc.org","38cfdae0-fb16-4a13-be28-6635f890638a"
"279","C201265","Start to Start","Code_27","2023-09-29","http://www.cdisc.org","2e9f871b-8f8d-4834-8ce8-c45f8d68dbe3"
"280","C201264","After","Code_28","2023-09-29","http://www.cdisc.org","d6412fd9-76a2-4c68-9d74-33aef0c67ea8"
"281","C201265","Start to Start","Code_29","2023-09-29","http://www.cdisc.org","3238ac30-4cb3-4660-956a-33032789afd5"
"282","C201264","After","Code_30","2023-09-29","http://www.cdisc.org","25f071d9-20a4-4238-b230-4e86bdb20338"
"283","C201265","Start to Start","Code_31","2023-09-29","http://www.cdisc.org","854ea0fb-7b3e-44ba-bb7a-98c39da85833"
"284","C201264","After","Code_32","2023-09-29","http://www.cdisc.org","c86b2a37-67e5-4a45-a613-3ed966526f65"
"285","C201265","Start to Start","Code_33","2023-09-29","http://www.cdisc.org","dbcfd883-9143-484b-a6e1-45cb400242db"
"286","C201264","After","Code_34","2023-09-29","http://www.cdisc.org","211f4fcd-92b3-42d1-8cc5-5f0f3bd551b4"
"287","C201265","Start to Start","Code_35","2023-09-29","http://www.cdisc.org","99193b13-45b3-486b-adbd-91b98cf63ba9"
"288","C201264","After","Code_36","2023-09-29","http://www.cdisc.org","0a54ce8a-4e3b-473a-8605-df4f8dafa15c"
"289","C201265","Start to Start","Code_37","2023-09-29","http://www.cdisc.org","0fcaccff-12b1-4cd8-b8cb-1e290f31856e"
"290","C201264","After","Code_38","2023-09-29","http://www.cdisc.org","43354330-2379-498c-abaf-b217f291fcb7"
"291","C201265","Start to Start","Code_39","2023-09-29","http://www.cdisc.org","e70f768c-7e26-4ce9-ad3e-f89beeed9b75"
"292","C201264","After","Code_40","2023-09-29","http://www.cdisc.org","dbe1d13e-a214-4b28-8339-bbed46075e10"
"293","C201265","Start to Start","Code_41","2023-09-29","http://www.cdisc.org","0d228981-69c7-47ee-a997-a4fdfb997ec8"
"294","C201264","Fixed Reference","Code_42","2023-09-29","http://www.cdisc.org","29194481-de07-43aa-af0d-d91edde1c344"
"295","C201265","Start to Start","Code_43","2023-09-29","http://www.cdisc.org","684fb6ed-9ba5-49ed-949f-b79d1bbe25af"
"296","C201264","Fixed Reference","Code_44","2023-09-29","http://www.cdisc.org","043537df-0d88-4351-84da-aaf04783158c"
"297","C201265","Start to Start","Code_45","2023-09-29","http://www.cdisc.org","e2346f31-e8e5-44cb-a766-d24fc44607f9"
"298","C201264","Fixed Reference","Code_46","2023-09-29","http://www.cdisc.org","0fab3769-3789-4058-b9af-fa632abcc695"
"299","C201265","Start to Start","Code_47","2023-09-29","http://www.cdisc.org","575bf5d5-4996-4a80-a7a7-aaa625109ee7"
"300","C201264","After","Code_48","2023-09-29","http://www.cdisc.org","70852b4b-6bb7-4f7e-a1b3-de4db697b7b6"
"301","C201265","Start to Start","Code_49","2023-09-29","http://www.cdisc.org","b5353478-7857-47b4-8a5b-7a31a61f407e"
"302","C201264","After","Code_50","2023-09-29","http://www.cdisc.org","1583f867-c5ee-45df-a79f-90b27ca57c6a"
"303","C201265","End to Start","Code_51","2023-09-29","http://www.cdisc.org","2d688903-3467-4c05-a6de-4b81462cf79f"
"304","C201264","After","Code_52","2023-09-29","http://www.cdisc.org","ba000d09-625e-4f3e-bba5-7b72760b1708"
"305","C201265","End to Start","Code_53","2023-09-29","http://www.cdisc.org","3bc40ad7-0eac-4e2b-b084-354412c2abfe"
"306","C25532","Inclusion Criteria","Code_310","2023-09-29","http://www.cdisc.org","cc9e2b50-633c-4ace-b0b6-31034850aa41"
"307","C25532","Inclusion Criteria","Code_311","2023-09-29","http://www.cdisc.org","efbd114c-7e13-4ed4-b4f2-b878f6ee9cf6"
"308","C25532","Inclusion Criteria","Code_312","2023-09-29","http://www.cdisc.org","7031eaaa-1ada-4e23-b0df-aee7e00520fb"
"309","C25370","Exclusion Criteria","Code_313","2023-09-29","http://www.cdisc.org","175cce91-3379-4641-bb68-57cdc4fd8dbd"
"310","C25508","Final","Code_4","2023-09-29","http://www.cdisc.org","72029542-ffea-40fd-b5d4-3345f9b225d6"
"311","C99903x1","Protocol Effective Date","Code_7","2023-09-29","http://www.cdisc.org","252c1483-930d-46ca-98b0-9157881fdeed"
"312","C41129","Region","Code_9","2023-09-29","http://www.cdisc.org","9a9b73bb-e751-4071-8a41-a2797a8b8d3b"
"313","150","Europe","Code_8","2020-08","ISO 3166 1 alpha3","a6b662d6-04eb-47c5-8966-63f081f1f37e"
